,species,bonaire,curacao,statia,roatan
119,Lipogramma regium,NA,NA,1,NA
120,Lipogramma schrieri,NA,1,NA,NA
121,Lipogramma trilineata,NA,NA,1,NA
122,Malacanthus plumieri,1,NA,1,1
123,Mulloidichthys martinicus,1,NA,1,1
124,Muraena retifera,1,NA,NA,NA
125,Mycteroperca bonaci,1,NA,NA,NA
126,Mycteroperca interstitialis,1,NA,NA,1
127,Mycteroperca tigris,NA,NA,NA,1
128,Myctoperca bonaci,NA,NA,NA,1
129,Myripristis jacobus,1,1,1,NA
130,Neoniphon coruscum,1,NA,NA,NA
131,Ocyurus chrysurus,1,NA,NA,1
132,Ogcocephalus corniger,NA,NA,1,NA
133,Ogcocephalus parvus,1,NA,NA,NA
134,Opistognathus aurifrons,NA,NA,NA,1
135,Opistognathus schrieri,NA,1,NA,1
136,Ostichthys trachypoma,1,1,1,1
137,Oxyurichthys stigmalophius,1,NA,NA,NA
138,Palatogobius grandoculus,NA,NA,1,1
139,Palatogobius incendius,1,1,1,1
140,Palatogobius paradoxus,NA,NA,NA,1
141,Paranthias furcifer,1,1,1,NA
142,Paroncheilus affinis,1,1,1,NA
143,Peristedion brevirostre,1,NA,NA,NA
144,Physiculus fulvus,1,NA,NA,NA
145,Pinnichthys aimoriensis,1,NA,1,NA
146,Plectranthias garrupellus,NA,NA,1,1
147,Plectranthias sp.,1,1,1,NA
148,Polylepion sp.,NA,1,NA,1
149,Pomacanthus arcuatus,1,NA,NA,1
150,Pomacanthus paru,1,NA,1,1
151,Pontinus castor,1,1,1,1
152,Pontinus nematophthalmus,NA,1,NA,NA
153,Priacanthus arenatus,NA,NA,1,1
154,Priolepis hipoliti,1,NA,NA,NA
155,Pristigenys alta,1,1,1,1
156,Pristipomoides aquilonaris,1,NA,NA,NA
157,Pristipomoides freemani,1,NA,NA,NA
158,Pristipomoides macrophthalmus,NA,1,1,NA
159,Prognathodes aculeatus,1,1,1,1
160,Prognathodes guyanensis,1,1,1,1
161,Pronotogrammus martinicensis,1,1,1,1
162,Pseudupeneus maculatus,NA,NA,NA,1
163,Psilotris laurae,1,NA,NA,NA
164,Ptereleotris helenae,1,1,1,1
165,Pterois volitans,NA,NA,NA,1
166,Rypticus maculatus,1,NA,NA,NA
167,Rypticus saponaceous,1,NA,NA,NA
168,Rypticus saponaceus,NA,NA,1,1
169,Sargocentron bullisi,1,NA,NA,NA
170,Sargocentron poco,NA,NA,NA,1
171,Scarus iseri,NA,NA,NA,1
172,Scarus taeniopterus,1,NA,1,1
173,Scarus vetula,1,NA,NA,NA
174,Scarus viride,NA,NA,NA,1
175,Scorpaena brasiliensis,1,NA,NA,NA
176,Scorpaenodes barrybrowni,1,NA,NA,NA
177,Scorpaenodes caribbaeus,NA,NA,1,NA
178,Seriola dumerili,NA,NA,NA,1
179,Seriola rivoliana,NA,NA,1,NA
180,Serranus annularis,NA,NA,1,NA
181,Serranus atrobranchus,1,NA,NA,NA
182,Serranus chionaraia,1,NA,NA,NA
183,Serranus luciopercanus,1,1,1,1
184,Serranus notospilus,1,1,1,NA
185,Serranus phoebe,1,1,1,NA
186,Serranus tabacarius,1,NA,1,1
188,Serranus tigrinus,1,NA,NA,NA
189,Serranus tortugarum,1,NA,1,1
190,Sparisoma atomarium,NA,NA,NA,1
191,Sparisoma aurofrenatum,NA,NA,1,1
192,Sparisoma viride,1,NA,1,1
193,Sphoeroides dorsalis,NA,NA,1,NA
194,Sphyraena barracuda,1,NA,1,1
195,Sphyraenops bairdianus,NA,1,NA,NA
196,Stegastes partitus,1,1,1,1
197,Stegastes xanthurus,NA,NA,NA,1
198,Syacium gunteri,1,NA,NA,NA
199,Symphysanodon berryi,NA,1,1,1
200,Symphysanodon octoactinus,1,1,1,1
201,Synagrops bellus,1,NA,NA,1
202,Synagrops egretta,1,NA,NA,NA
203,Thalassoma bifasciatum,NA,NA,1,1
204,Trachinotus goodei,NA,NA,NA,1
205,Varicus adamsi,NA,NA,NA,1
206,Varicus cephalocellatus,1,NA,1,NA
207,Varicus decorum,1,1,NA,NA
208,Varicus veliguttatus,NA,1,1,1
209,Verilus sordidus,NA,NA,NA,1
210,Vomerogobius flavus,NA,NA,NA,1
211,Xanthichthys ringens,1,1,1,NA
212,Zalieutes mcgintyi,NA,NA,1,NA
