"","species","meters","location","species.fb"
"50","Scorpaena brasiliensis",204,"Bonaire","Scorpaena brasiliensis"
"51","Caulolatilus dooleyi",203,"Bonaire","Caulolatilus dooleyi"
"52","Paroncheilus affinis",201,"Bonaire","Paroncheilus affinis"
"53","Caulolatilus dooleyi",198,"Bonaire","Caulolatilus dooleyi"
"54","Pristipomoides freemani",197,"Bonaire","Pristipomoides freemani"
"55","Caulolatilus dooleyi",195,"Bonaire","Caulolatilus dooleyi"
"56","Gymnothorax ocellatus",194,"Bonaire","Gymnothorax ocellatus"
"57","Caulolatilus dooleyi",191,"Bonaire","Caulolatilus dooleyi"
"58","Chrionema squamentum",189,"Bonaire","Chrionema squamentum"
"59","Gymnothorax ocellatus",189,"Bonaire","Gymnothorax ocellatus"
"60","Bellator egretta",188,"Bonaire","Bellator egretta"
"61","Synagrops bellus",188,"Bonaire","Synagrops bellus"
"62","Chrionema squamentum",187,"Bonaire","Chrionema squamentum"
"63","Gymnothorax ocellatus",187,"Bonaire","Gymnothorax ocellatus"
"64","Bellator egretta",186,"Bonaire","Bellator egretta"
"65","Bellator egretta",186,"Bonaire","Bellator egretta"
"66","Caulolatilus dooleyi",186,"Bonaire","Caulolatilus dooleyi"
"67","Jeboehlkia gladifer",185,"Bonaire","Jeboehlkia gladifer"
"68","Caulolatilus plumieri",184,"Bonaire","Malacanthus plumieri"
"69","Baldwinella vivanus",183,"Bonaire","Baldwinella vivanus"
"70","Choranthias tenuis",183,"Bonaire","Choranthias tenuis"
"71","Choranthias tenuis",183,"Bonaire","Choranthias tenuis"
"72","Hemanthias leptus",183,"Bonaire","Hemanthias leptus"
"73","Serranus notospilus",183,"Bonaire","Serranus notospilus"
"74","Serranus phoebe",183,"Bonaire","Serranus phoebe"
"75","Bellator egretta",182,"Bonaire","Bellator egretta"
"76","Pontinus castor",182,"Bonaire","Pontinus castor"
"77","Serranus phoebe",182,"Bonaire","Serranus phoebe"
"78","Baldwinella vivanus",181,"Bonaire","Baldwinella vivanus"
"79","Choranthias tenuis",181,"Bonaire","Choranthias tenuis"
"80","Choranthias tenuis",181,"Bonaire","Choranthias tenuis"
"81","Chrionema squamentum",181,"Bonaire","Chrionema squamentum"
"82","Ostichthys trachypoma",181,"Bonaire","Ostichthys trachypoma"
"83","Malacanthus plumieri",180,"Bonaire","Malacanthus plumieri"
"84","Peristedion brevirostre",180,"Bonaire","Peristedion brevirostre"
"85","Pronotogrammus martinicensis",180,"Bonaire","Pronotogrammus martinicensis"
"86","Serranus phoebe",180,"Bonaire","Serranus phoebe"
"87","Fistularia sp.",179,"Bonaire","Fistularia commersonii"
"88","Serranus notospilus",179,"Bonaire","Serranus notospilus"
"89","Serranus notospilus",179,"Bonaire","Serranus notospilus"
"90","Serranus notospilus",179,"Bonaire","Serranus notospilus"
"91","Serranus notospilus",179,"Bonaire","Serranus notospilus"
"92","Baldwinella vivanus",178,"Bonaire","Baldwinella vivanus"
"93","Baldwinella vivanus",178,"Bonaire","Baldwinella vivanus"
"94","Bellator egretta",178,"Bonaire","Bellator egretta"
"95","Ostichthys trachypoma",178,"Bonaire","Ostichthys trachypoma"
"96","Ostichthys trachypoma",178,"Bonaire","Ostichthys trachypoma"
"97","Physiculus fulvus",178,"Bonaire","Physiculus fulvus"
"98","Physiculus fulvus",178,"Bonaire","Physiculus fulvus"
"99","Pronotogrammus martinicensis",178,"Bonaire","Pronotogrammus martinicensis"
"100","Pronotogrammus martinicensis",178,"Bonaire","Pronotogrammus martinicensis"
"101","Pronotogrammus martinicensis",178,"Bonaire","Pronotogrammus martinicensis"
"102","Pronotogrammus martinicensis",178,"Bonaire","Pronotogrammus martinicensis"
"103","Pronotogrammus martinicensis",178,"Bonaire","Pronotogrammus martinicensis"
"104","Chrionema squamentum",177,"Bonaire","Chrionema squamentum"
"105","Gymnothorax ocellatus",177,"Bonaire","Gymnothorax ocellatus"
"106","Peristedion brevirostre",177,"Bonaire","Peristedion brevirostre"
"107","Pronotogrammus martinicensis",177,"Bonaire","Pronotogrammus martinicensis"
"108","Pronotogrammus martinicensis",177,"Bonaire","Pronotogrammus martinicensis"
"109","Pronotogrammus martinicensis",177,"Bonaire","Pronotogrammus martinicensis"
"110","Pronotogrammus martinicensis",177,"Bonaire","Pronotogrammus martinicensis"
"111","Pronotogrammus martinicensis",177,"Bonaire","Pronotogrammus martinicensis"
"112","Pronotogrammus martinicensis",177,"Bonaire","Pronotogrammus martinicensis"
"113","Pronotogrammus martinicensis",177,"Bonaire","Pronotogrammus martinicensis"
"114","Serranus notospilus",177,"Bonaire","Serranus notospilus"
"115","Serranus notospilus",177,"Bonaire","Serranus notospilus"
"116","Serranus phoebe",177,"Bonaire","Serranus phoebe"
"117","Serranus phoebe",177,"Bonaire","Serranus phoebe"
"118","Caulolatilus dooleyi",176,"Bonaire","Caulolatilus dooleyi"
"119","Caulolatilus dooleyi",176,"Bonaire","Caulolatilus dooleyi"
"120","Gymnothorax ocellatus",176,"Bonaire","Gymnothorax ocellatus"
"121","Serranus phoebe",176,"Bonaire","Serranus phoebe"
"122","Serranus phoebe",176,"Bonaire","Serranus phoebe"
"123","Bellator brachychir",175,"Bonaire","Bellator brachychir"
"124","Bellator brachychir",175,"Bonaire","Bellator brachychir"
"125","Hyporthodus niveatus",175,"Bonaire","Hyporthodus niveatus"
"126","Jeboehlkia gladifer",174,"Bonaire","Jeboehlkia gladifer"
"127","Pronotogrammus martinicensis",174,"Bonaire","Pronotogrammus martinicensis"
"128","Serranus notospilus",174,"Bonaire","Serranus notospilus"
"129","Serranus notospilus",174,"Bonaire","Serranus notospilus"
"130","Syacium gunteri",174,"Bonaire","Syacium gunteri"
"131","Serranus phoebe",173,"Bonaire","Serranus phoebe"
"132","Caulolatilus dooleyi",171,"Bonaire","Caulolatilus dooleyi"
"133","Caulolatilus dooleyi",171,"Bonaire","Caulolatilus dooleyi"
"134","Bellator egretta",169,"Bonaire","Bellator egretta"
"135","Lipogramma evides",169,"Bonaire","Lipogramma evides"
"136","Muraena retifera",169,"Bonaire","Muraena retifera"
"137","Serranus notospilus",169,"Bonaire","Serranus notospilus"
"138","Pristigenys alta",168,"Bonaire","Pristigenys alta"
"139","Chrionema squamentum",167,"Bonaire","Chrionema squamentum"
"140","Serranus notospilus",167,"Bonaire","Serranus notospilus"
"141","Serranus phoebe",167,"Bonaire","Serranus phoebe"
"142","Prognathodes guyanensis",166,"Bonaire","Prognathodes guyanensis"
"143","Prognathodes guyanensis",166,"Bonaire","Prognathodes guyanensis"
"144","Prognathodes guyanensis",166,"Bonaire","Prognathodes guyanensis"
"145","Pronotogrammus martinicensis",166,"Bonaire","Pronotogrammus martinicensis"
"146","Pronotogrammus martinicensis",166,"Bonaire","Pronotogrammus martinicensis"
"147","Pronotogrammus martinicensis",166,"Bonaire","Pronotogrammus martinicensis"
"148","Pronotogrammus martinicensis",166,"Bonaire","Pronotogrammus martinicensis"
"149","Pronotogrammus martinicensis",166,"Bonaire","Pronotogrammus martinicensis"
"150","Pronotogrammus martinicensis",166,"Bonaire","Pronotogrammus martinicensis"
"151","Pronotogrammus martinicensis",166,"Bonaire","Pronotogrammus martinicensis"
"152","Pronotogrammus martinicensis",166,"Bonaire","Pronotogrammus martinicensis"
"153","Pronotogrammus martinicensis",166,"Bonaire","Pronotogrammus martinicensis"
"154","Pronotogrammus martinicensis",166,"Bonaire","Pronotogrammus martinicensis"
"155","Pronotogrammus martinicensis",166,"Bonaire","Pronotogrammus martinicensis"
"156","Pronotogrammus martinicensis",166,"Bonaire","Pronotogrammus martinicensis"
"157","Serranus notospilus",166,"Bonaire","Serranus notospilus"
"158","Symphysanodon octoactinus",166,"Bonaire","Symphysanodon octoactinus"
"159","Symphysanodon octoactinus",166,"Bonaire","Symphysanodon octoactinus"
"160","Decodon shallow",165,"Bonaire","Decodon puellaris"
"161","Prognathodes guyanensis",165,"Bonaire","Prognathodes guyanensis"
"162","Symphysanodon octoactinus",165,"Bonaire","Symphysanodon octoactinus"
"163","Varicus decorum",165,"Bonaire","Varicus bucca"
"164","Liopropoma olneyi",164,"Bonaire","Liopropoma olneyi"
"165","Serranus notospilus",164,"Bonaire","Serranus notospilus"
"166","Serranus phoebe",164,"Bonaire","Serranus phoebe"
"167","Corniger spinosus",163,"Bonaire","Corniger spinosus"
"168","Gonioplectrus hispanus",163,"Bonaire","Gonioplectrus hispanus"
"169","Jeboehlkia gladifer",163,"Bonaire","Jeboehlkia gladifer"
"170","Liopropoma aberrans",163,"Bonaire","Liopropoma aberrans"
"171","Liopropoma olneyi",163,"Bonaire","Liopropoma olneyi"
"172","Pinnichthys aimoriensis",163,"Bonaire","Chriolepis zebra"
"173","Serranus notospilus",163,"Bonaire","Serranus notospilus"
"174","Varicus decorum",163,"Bonaire","Varicus bucca"
"175","Varicus decorum",163,"Bonaire","Varicus bucca"
"176","Caulolatilus dooleyi",162,"Bonaire","Caulolatilus dooleyi"
"177","Chrionema squamentum",162,"Bonaire","Chrionema squamentum"
"178","Chrionema squamentum",162,"Bonaire","Chrionema squamentum"
"179","Physiculus fulvus",162,"Bonaire","Physiculus fulvus"
"180","Pristigenys alta",162,"Bonaire","Pristigenys alta"
"181","Pristigenys alta",162,"Bonaire","Pristigenys alta"
"182","Pronotogrammus martinicensis",162,"Bonaire","Pronotogrammus martinicensis"
"183","Pronotogrammus martinicensis",162,"Bonaire","Pronotogrammus martinicensis"
"184","Serranus phoebe",162,"Bonaire","Serranus phoebe"
"185","Symphysanodon octoactinus",162,"Bonaire","Symphysanodon octoactinus"
"186","Symphysanodon octoactinus",162,"Bonaire","Symphysanodon octoactinus"
"187","Varicus decorum",162,"Bonaire","Varicus bucca"
"188","Gonioplectrus hispanus",161,"Bonaire","Gonioplectrus hispanus"
"189","Jeboehlkia gladifer",161,"Bonaire","Jeboehlkia gladifer"
"190","Ogcocephalus parvus",161,"Bonaire","Ogcocephalus parvus"
"191","Pristigenys alta",161,"Bonaire","Pristigenys alta"
"192","Pristipomoides aquilonaris",161,"Bonaire","Pristipomoides aquilonaris"
"193","Pronotogrammus martinicensis",161,"Bonaire","Pronotogrammus martinicensis"
"194","Pronotogrammus martinicensis",161,"Bonaire","Pronotogrammus martinicensis"
"195","Serranus phoebe",161,"Bonaire","Serranus phoebe"
"196","Symphysanodon octoactinus",161,"Bonaire","Symphysanodon octoactinus"
"197","Symphysanodon octoactinus",161,"Bonaire","Symphysanodon octoactinus"
"198","Symphysanodon octoactinus",161,"Bonaire","Symphysanodon octoactinus"
"199","Varicus decorum",161,"Bonaire","Varicus bucca"
"200","Varicus decorum",161,"Bonaire","Varicus bucca"
"201","Varicus decorum",161,"Bonaire","Varicus bucca"
"202","Chrionema squamentum",160,"Bonaire","Chrionema squamentum"
"203","Pristigenys alta",160,"Bonaire","Pristigenys alta"
"204","Pronotogrammus martinicensis",160,"Bonaire","Pronotogrammus martinicensis"
"205","Pronotogrammus martinicensis",160,"Bonaire","Pronotogrammus martinicensis"
"206","Pronotogrammus martinicensis",160,"Bonaire","Pronotogrammus martinicensis"
"207","Serranus notospilus",160,"Bonaire","Serranus notospilus"
"208","Varicus decorum",160,"Bonaire","Varicus bucca"
"209","Corniger spinosus",159,"Bonaire","Corniger spinosus"
"210","Corniger spinosus",159,"Bonaire","Corniger spinosus"
"211","Corniger spinosus",159,"Bonaire","Corniger spinosus"
"212","Corniger spinosus",159,"Bonaire","Corniger spinosus"
"213","Corniger spinosus",159,"Bonaire","Corniger spinosus"
"214","Gonioplectrus hispanus",159,"Bonaire","Gonioplectrus hispanus"
"215","Gonioplectrus hispanus",159,"Bonaire","Gonioplectrus hispanus"
"216","Lipogramma evides",159,"Bonaire","Lipogramma evides"
"217","Symphysanodon octoactinus",159,"Bonaire","Symphysanodon octoactinus"
"218","Symphysanodon octoactinus",159,"Bonaire","Symphysanodon octoactinus"
"219","Symphysanodon octoactinus",159,"Bonaire","Symphysanodon octoactinus"
"220","Decodon shallow",158,"Bonaire","Decodon puellaris"
"221","Gonioplectrus hispanus",158,"Bonaire","Gonioplectrus hispanus"
"222","Gonioplectrus hispanus",158,"Bonaire","Gonioplectrus hispanus"
"223","Gonioplectrus hispanus",158,"Bonaire","Gonioplectrus hispanus"
"224","Gonioplectrus hispanus",158,"Bonaire","Gonioplectrus hispanus"
"225","Gonioplectrus hispanus",158,"Bonaire","Gonioplectrus hispanus"
"226","Jeboehlkia gladifer",158,"Bonaire","Jeboehlkia gladifer"
"227","Liopropoma olneyi",158,"Bonaire","Liopropoma olneyi"
"228","Prognathodes guyanensis",158,"Bonaire","Prognathodes guyanensis"
"229","Prognathodes guyanensis",158,"Bonaire","Prognathodes guyanensis"
"230","Pronotogrammus martinicensis",158,"Bonaire","Pronotogrammus martinicensis"
"231","Pronotogrammus martinicensis",158,"Bonaire","Pronotogrammus martinicensis"
"232","Pronotogrammus martinicensis",158,"Bonaire","Pronotogrammus martinicensis"
"233","Pronotogrammus martinicensis",158,"Bonaire","Pronotogrammus martinicensis"
"234","Pronotogrammus martinicensis",158,"Bonaire","Pronotogrammus martinicensis"
"235","Serranus phoebe",158,"Bonaire","Serranus phoebe"
"236","Symphysanodon octoactinus",158,"Bonaire","Symphysanodon octoactinus"
"237","Ostichthys trachypoma",157,"Bonaire","Ostichthys trachypoma"
"238","Pomacanthus paru",157,"Bonaire","Pomacanthus paru"
"239","Pomacanthus paru",157,"Bonaire","Pomacanthus paru"
"240","Pronotogrammus martinicensis",157,"Bonaire","Pronotogrammus martinicensis"
"241","Gonioplectrus hispanus",156,"Bonaire","Gonioplectrus hispanus"
"242","Gonioplectrus hispanus",156,"Bonaire","Gonioplectrus hispanus"
"243","Gonioplectrus hispanus",156,"Bonaire","Gonioplectrus hispanus"
"244","Palatogobius incendius",156,"Bonaire","Palatogobius grandoculus"
"245","Pontinus castor",156,"Bonaire","Pontinus castor"
"246","Pronotogrammus martinicensis",156,"Bonaire","Pronotogrammus martinicensis"
"247","Pronotogrammus martinicensis",156,"Bonaire","Pronotogrammus martinicensis"
"248","Pronotogrammus martinicensis",156,"Bonaire","Pronotogrammus martinicensis"
"249","Serranus notospilus",156,"Bonaire","Serranus notospilus"
"250","Serranus notospilus",156,"Bonaire","Serranus notospilus"
"251","Corniger spinosus",155,"Bonaire","Corniger spinosus"
"252","Corniger spinosus",155,"Bonaire","Corniger spinosus"
"253","Corniger spinosus",155,"Bonaire","Corniger spinosus"
"254","Corniger spinosus",155,"Bonaire","Corniger spinosus"
"255","Equetus lanceolatus",155,"Bonaire","Equetus lanceolatus"
"256","Pontinus castor",155,"Bonaire","Pontinus castor"
"257","Pronotogrammus martinicensis",155,"Bonaire","Pronotogrammus martinicensis"
"258","Pronotogrammus martinicensis",155,"Bonaire","Pronotogrammus martinicensis"
"259","Pronotogrammus martinicensis",155,"Bonaire","Pronotogrammus martinicensis"
"260","Pronotogrammus martinicensis",155,"Bonaire","Pronotogrammus martinicensis"
"261","Pronotogrammus martinicensis",155,"Bonaire","Pronotogrammus martinicensis"
"262","Serranus notospilus",155,"Bonaire","Serranus notospilus"
"263","Baldwinella vivanus",154,"Bonaire","Baldwinella vivanus"
"264","Baldwinella vivanus",154,"Bonaire","Baldwinella vivanus"
"265","Baldwinella vivanus",154,"Bonaire","Baldwinella vivanus"
"266","Baldwinella vivanus",154,"Bonaire","Baldwinella vivanus"
"267","Baldwinella vivanus",154,"Bonaire","Baldwinella vivanus"
"268","Baldwinella vivanus",154,"Bonaire","Baldwinella vivanus"
"269","Gonioplectrus hispanus",154,"Bonaire","Gonioplectrus hispanus"
"270","Hemanthias leptus",154,"Bonaire","Hemanthias leptus"
"271","Hemanthias leptus",154,"Bonaire","Hemanthias leptus"
"272","Hemanthias leptus",154,"Bonaire","Hemanthias leptus"
"273","Liopropoma olneyi",154,"Bonaire","Liopropoma olneyi"
"274","Liopropoma olneyi",154,"Bonaire","Liopropoma olneyi"
"275","Pontinus castor",154,"Bonaire","Pontinus castor"
"276","Pronotogrammus martinicensis",154,"Bonaire","Pronotogrammus martinicensis"
"277","Pronotogrammus martinicensis",154,"Bonaire","Pronotogrammus martinicensis"
"278","Pronotogrammus martinicensis",154,"Bonaire","Pronotogrammus martinicensis"
"279","Pronotogrammus martinicensis",154,"Bonaire","Pronotogrammus martinicensis"
"280","Pronotogrammus martinicensis",154,"Bonaire","Pronotogrammus martinicensis"
"281","Pronotogrammus martinicensis",154,"Bonaire","Pronotogrammus martinicensis"
"282","Pronotogrammus martinicensis",154,"Bonaire","Pronotogrammus martinicensis"
"283","Pronotogrammus martinicensis",154,"Bonaire","Pronotogrammus martinicensis"
"284","Pronotogrammus martinicensis",154,"Bonaire","Pronotogrammus martinicensis"
"285","Pronotogrammus martinicensis",154,"Bonaire","Pronotogrammus martinicensis"
"286","Pronotogrammus martinicensis",154,"Bonaire","Pronotogrammus martinicensis"
"287","Pronotogrammus martinicensis",154,"Bonaire","Pronotogrammus martinicensis"
"288","Pronotogrammus martinicensis",154,"Bonaire","Pronotogrammus martinicensis"
"289","Pronotogrammus martinicensis",154,"Bonaire","Pronotogrammus martinicensis"
"290","Pronotogrammus martinicensis",154,"Bonaire","Pronotogrammus martinicensis"
"291","Pronotogrammus martinicensis",154,"Bonaire","Pronotogrammus martinicensis"
"292","Pronotogrammus martinicensis",154,"Bonaire","Pronotogrammus martinicensis"
"293","Pronotogrammus martinicensis",154,"Bonaire","Pronotogrammus martinicensis"
"294","Scorpaenodes barrybrowni",154,"Bonaire","Scorpaenodes barrybrowni"
"295","Serranus notospilus",154,"Bonaire","Serranus notospilus"
"296","Symphysanodon octoactinus",154,"Bonaire","Symphysanodon octoactinus"
"297","Symphysanodon octoactinus",154,"Bonaire","Symphysanodon octoactinus"
"298","Chromis enchrysura",153,"Bonaire","Chromis enchrysura"
"299","Liopropoma olneyi",153,"Bonaire","Liopropoma olneyi"
"300","Liopropoma olneyi",153,"Bonaire","Liopropoma olneyi"
"301","Lipogramma levinsoni",153,"Bonaire","Lipogramma levinsoni"
"302","Pronotogrammus martinicensis",153,"Bonaire","Pronotogrammus martinicensis"
"303","Serranus notospilus",153,"Bonaire","Serranus notospilus"
"304","Serranus phoebe",153,"Bonaire","Serranus phoebe"
"305","Canthigaster jamestyleri",152,"Bonaire","Canthigaster jamestyleri"
"306","Decodon shallow",152,"Bonaire","Decodon puellaris"
"307","Liopropoma olneyi",152,"Bonaire","Liopropoma olneyi"
"308","Liopropoma olneyi",152,"Bonaire","Liopropoma olneyi"
"309","Liopropoma olneyi",152,"Bonaire","Liopropoma olneyi"
"310","Pontinus castor",152,"Bonaire","Pontinus castor"
"311","Pronotogrammus martinicensis",152,"Bonaire","Pronotogrammus martinicensis"
"312","Pronotogrammus martinicensis",152,"Bonaire","Pronotogrammus martinicensis"
"313","Pronotogrammus martinicensis",152,"Bonaire","Pronotogrammus martinicensis"
"314","Pronotogrammus martinicensis",152,"Bonaire","Pronotogrammus martinicensis"
"315","Pronotogrammus martinicensis",152,"Bonaire","Pronotogrammus martinicensis"
"316","Pronotogrammus martinicensis",152,"Bonaire","Pronotogrammus martinicensis"
"317","Pronotogrammus martinicensis",152,"Bonaire","Pronotogrammus martinicensis"
"318","Pronotogrammus martinicensis",152,"Bonaire","Pronotogrammus martinicensis"
"319","Pronotogrammus martinicensis",152,"Bonaire","Pronotogrammus martinicensis"
"320","Pronotogrammus martinicensis",152,"Bonaire","Pronotogrammus martinicensis"
"321","Pronotogrammus martinicensis",152,"Bonaire","Pronotogrammus martinicensis"
"322","Pronotogrammus martinicensis",152,"Bonaire","Pronotogrammus martinicensis"
"323","Pronotogrammus martinicensis",152,"Bonaire","Pronotogrammus martinicensis"
"324","Pronotogrammus martinicensis",152,"Bonaire","Pronotogrammus martinicensis"
"325","Pronotogrammus martinicensis",152,"Bonaire","Pronotogrammus martinicensis"
"326","Pronotogrammus martinicensis",152,"Bonaire","Pronotogrammus martinicensis"
"327","Pronotogrammus martinicensis",152,"Bonaire","Pronotogrammus martinicensis"
"328","Pronotogrammus martinicensis",152,"Bonaire","Pronotogrammus martinicensis"
"329","Pronotogrammus martinicensis",152,"Bonaire","Pronotogrammus martinicensis"
"330","Pronotogrammus martinicensis",152,"Bonaire","Pronotogrammus martinicensis"
"331","Pronotogrammus martinicensis",152,"Bonaire","Pronotogrammus martinicensis"
"332","Pronotogrammus martinicensis",152,"Bonaire","Pronotogrammus martinicensis"
"333","Pronotogrammus martinicensis",152,"Bonaire","Pronotogrammus martinicensis"
"334","Serranus notospilus",152,"Bonaire","Serranus notospilus"
"335","Serranus phoebe",152,"Bonaire","Serranus phoebe"
"336","Serranus phoebe",152,"Bonaire","Serranus phoebe"
"337","Baldwinella vivanus",151,"Bonaire","Baldwinella vivanus"
"338","Caranx latus",151,"Bonaire","Caranx latus"
"339","Choranthias tenuis",151,"Bonaire","Choranthias tenuis"
"340","Gymnothorax moringa",151,"Bonaire","Gymnothorax moringa"
"341","Liopropoma olneyi",151,"Bonaire","Liopropoma olneyi"
"342","Physiculus fulvus",151,"Bonaire","Physiculus fulvus"
"343","Pronotogrammus martinicensis",151,"Bonaire","Pronotogrammus martinicensis"
"344","Pronotogrammus martinicensis",151,"Bonaire","Pronotogrammus martinicensis"
"345","Serranus notospilus",151,"Bonaire","Serranus notospilus"
"346","Liopropoma olneyi",150,"Bonaire","Liopropoma olneyi"
"347","Liopropoma olneyi",150,"Bonaire","Liopropoma olneyi"
"348","Liopropoma olneyi",150,"Bonaire","Liopropoma olneyi"
"349","Liopropoma olneyi",150,"Bonaire","Liopropoma olneyi"
"350","Pristigenys alta",150,"Bonaire","Pristigenys alta"
"351","Pronotogrammus martinicensis",150,"Bonaire","Pronotogrammus martinicensis"
"352","Pronotogrammus martinicensis",150,"Bonaire","Pronotogrammus martinicensis"
"353","Pronotogrammus martinicensis",150,"Bonaire","Pronotogrammus martinicensis"
"354","Serranus phoebe",150,"Bonaire","Serranus phoebe"
"355","Liopropoma olneyi",149,"Bonaire","Liopropoma olneyi"
"356","Liopropoma olneyi",149,"Bonaire","Liopropoma olneyi"
"357","Lipogramma evides",149,"Bonaire","Lipogramma evides"
"358","Lipogramma evides",149,"Bonaire","Lipogramma evides"
"359","Pronotogrammus martinicensis",149,"Bonaire","Pronotogrammus martinicensis"
"360","Pronotogrammus martinicensis",149,"Bonaire","Pronotogrammus martinicensis"
"361","Pronotogrammus martinicensis",149,"Bonaire","Pronotogrammus martinicensis"
"362","Pronotogrammus martinicensis",149,"Bonaire","Pronotogrammus martinicensis"
"363","Pronotogrammus martinicensis",149,"Bonaire","Pronotogrammus martinicensis"
"364","Pronotogrammus martinicensis",149,"Bonaire","Pronotogrammus martinicensis"
"365","Pronotogrammus martinicensis",149,"Bonaire","Pronotogrammus martinicensis"
"366","Pronotogrammus martinicensis",149,"Bonaire","Pronotogrammus martinicensis"
"367","Pronotogrammus martinicensis",149,"Bonaire","Pronotogrammus martinicensis"
"368","Pronotogrammus martinicensis",149,"Bonaire","Pronotogrammus martinicensis"
"369","Pronotogrammus martinicensis",149,"Bonaire","Pronotogrammus martinicensis"
"370","Pronotogrammus martinicensis",149,"Bonaire","Pronotogrammus martinicensis"
"371","Pronotogrammus martinicensis",149,"Bonaire","Pronotogrammus martinicensis"
"372","Pronotogrammus martinicensis",149,"Bonaire","Pronotogrammus martinicensis"
"373","Pronotogrammus martinicensis",149,"Bonaire","Pronotogrammus martinicensis"
"374","Pronotogrammus martinicensis",149,"Bonaire","Pronotogrammus martinicensis"
"375","Pronotogrammus martinicensis",149,"Bonaire","Pronotogrammus martinicensis"
"376","Pronotogrammus martinicensis",149,"Bonaire","Pronotogrammus martinicensis"
"377","Pronotogrammus martinicensis",149,"Bonaire","Pronotogrammus martinicensis"
"378","Pronotogrammus martinicensis",149,"Bonaire","Pronotogrammus martinicensis"
"379","Pronotogrammus martinicensis",149,"Bonaire","Pronotogrammus martinicensis"
"380","Pronotogrammus martinicensis",149,"Bonaire","Pronotogrammus martinicensis"
"381","Serranus notospilus",149,"Bonaire","Serranus notospilus"
"382","Decodon shallow",148,"Bonaire","Decodon puellaris"
"383","Liopropoma olneyi",148,"Bonaire","Liopropoma olneyi"
"384","Lipogramma levinsoni",148,"Bonaire","Lipogramma levinsoni"
"385","Lipogramma levinsoni",148,"Bonaire","Lipogramma levinsoni"
"386","Serranus atrobranchus",148,"Bonaire","Serranus atrobranchus"
"387","Serranus notospilus",148,"Bonaire","Serranus notospilus"
