"","species","dband","location","abundance","X","m","COEF","abu.corr"
"64","Antilligobius nikkiae",100,"St. Eustatius",151,121,"m",1.546301253,233.491489203
"65","Antilligobius nikkiae",110,"Bonaire",100,2,"m",1.161185714,116.1185714
"66","Antilligobius nikkiae",110,"Curacao",134,28,"m",1.161185714,155.598885676
"67","Antilligobius nikkiae",110,"Roatan",3,64,"m",1.934782609,5.804347827
"68","Antilligobius nikkiae",110,"St. Eustatius",357,120,"m",1.300675371,464.341107447
"69","Antilligobius nikkiae",120,"Bonaire",32,3,"m",1.127104229,36.067335328
"70","Antilligobius nikkiae",120,"Curacao",16,29,"m",1.127104229,18.033667664
"71","Antilligobius nikkiae",120,"Roatan",15,65,"m",2.170731707,32.560975605
"72","Antilligobius nikkiae",120,"St. Eustatius",351,119,"m",3.838426787,1347.287802237
"73","Antilligobius nikkiae",130,"Bonaire",12,4,"m",1.303308391,15.639700692
"74","Antilligobius nikkiae",130,"Curacao",4,30,"m",1.303308391,5.213233564
"75","Antilligobius nikkiae",130,"Roatan",45,66,"m",2.542857143,114.428571435
"76","Antilligobius nikkiae",130,"St. Eustatius",160,118,"m",3.42437174,547.8994784
"77","Antilligobius nikkiae",140,"Bonaire",1,5,"m",1.365335946,1.365335946
"78","Antilligobius nikkiae",140,"Curacao",1,31,"m",1.365335946,1.365335946
"79","Antilligobius nikkiae",140,"Roatan",129,67,"m",1.893617021,244.276595709
"80","Antilligobius nikkiae",140,"St. Eustatius",21,117,"m",5.143874644,108.021367524
"81","Antilligobius nikkiae",150,"Roatan",1,68,"m",2.022727273,2.022727273
"82","Antilligobius nikkiae",150,"St. Eustatius",27,116,"m",3.366899767,90.906293709
"83","Antilligobius nikkiae",160,"Roatan",5,69,"m",1.618181818,8.09090909
"84","Antilligobius nikkiae",170,"Roatan",10,70,"m",1.022988506,10.22988506
"85","Antilligobius nikkiae",170,"St. Eustatius",64,114,"m",3.76734481,241.11006784
"86","Antilligobius nikkiae",180,"Curacao",1,35,"m",1.724533239,1.724533239
"87","Antilligobius nikkiae",180,"Roatan",5,71,"m",2.870967742,14.35483871
"88","Antilligobius nikkiae",180,"St. Eustatius",36,113,"m",4.174566474,150.284393064
"89","Antilligobius nikkiae",200,"Curacao",1,37,"m",1.203301258,1.203301258
"90","Apogon gouldi",100,"Curacao",3,27,"m",1.379236425,4.137709275
"91","Apogon gouldi",110,"Bonaire",1,2,"m",1.161185714,1.161185714
"92","Apogon gouldi",110,"Curacao",3,28,"m",1.161185714,3.483557142
"93","Apogon gouldi",120,"Curacao",2,29,"m",1.127104229,2.254208458
"94","Apogon gouldi",130,"Curacao",3,30,"m",1.303308391,3.909925173
"95","Apogon gouldi",140,"Curacao",5,31,"m",1.365335946,6.82667973
"96","Apogon gouldi",150,"Curacao",2,32,"m",1.188927353,2.377854706
"97","Apogon gouldi",150,"Roatan",2,68,"m",2.022727273,4.045454546
"98","Apogon lachneri",90,"Roatan",1,62,"m",2.966666667,2.966666667
"99","Apogon maculatus",120,"Bonaire",1,3,"m",1.127104229,1.127104229
"100","Apogon pillionatus",70,"St. Eustatius",2,101,"m",5.971062422,11.942124844
"101","Apogon pseudomaculatus",70,"Bonaire",1,24,"m",2.085070543,2.085070543
"102","Apogon pseudomaculatus",110,"Bonaire",1,2,"m",1.161185714,1.161185714
"103","Apogon pseudomaculatus",130,"Bonaire",4,4,"m",1.303308391,5.213233564
"104","Apsilus dentatus",90,"Roatan",1,62,"m",2.966666667,2.966666667
"105","Aulopus filamentosus",280,"Roatan",1,81,"m",2.022727273,2.022727273
"106","Aulopus filamentosus",360,"Roatan",1,88,"m",8.090909091,8.090909091
"107","Aulostomus maculatus",20,"Roatan",1,55,"m",1.934782609,1.934782609
"108","Baldwinella vivanus",120,"Curacao",2,29,"m",1.127104229,2.254208458
"109","Baldwinella vivanus",120,"St. Eustatius",1,119,"m",3.838426787,3.838426787
"110","Baldwinella vivanus",140,"Curacao",11,31,"m",1.365335946,15.018695406
"111","Baldwinella vivanus",150,"Bonaire",7,6,"m",1.188927353,8.322491471
"112","Baldwinella vivanus",150,"Curacao",4,32,"m",1.188927353,4.755709412
"113","Baldwinella vivanus",160,"Curacao",7,33,"m",1.212877394,8.490141758
"114","Baldwinella vivanus",170,"Bonaire",2,8,"m",1.172632844,2.345265688
"115","Baldwinella vivanus",170,"Curacao",3,34,"m",1.172632844,3.517898532
"116","Baldwinella vivanus",180,"Bonaire",2,9,"m",1.724533239,3.449066478
"117","Baldwinella vivanus",180,"Curacao",7,35,"m",1.724533239,12.071732673
"118","Baldwinella vivanus",190,"Curacao",12,36,"m",1.643187332,19.718247984
"119","Baldwinella vivanus",200,"Curacao",4,37,"m",1.203301258,4.813205032
"120","Baldwinella vivanus",210,"Curacao",3,38,"m",1.454078712,4.362236136
"121","Baldwinella vivanus",220,"Curacao",3,39,"m",1.136560242,3.409680726
"122","Baldwinella vivanus",230,"Curacao",1,40,"m",1.644295347,1.644295347
"123","Baldwinella vivanus",230,"St. Eustatius",1,108,"m",2.26572549,2.26572549
"124","Bathyanthias sp.",210,"Bonaire",3,12,"m",1.454078712,4.362236136
"125","Bathyanthias sp.",270,"St. Eustatius",1,105,"m",18.23737374,18.23737374
"126","Bellator brachychir",170,"Bonaire",2,8,"m",1.172632844,2.345265688
"127","Bellator brachychir",190,"Curacao",5,36,"m",1.643187332,8.21593666
"128","Bellator brachychir",210,"Bonaire",1,12,"m",1.454078712,1.454078712
"129","Bellator brachychir",220,"Curacao",1,39,"m",1.136560242,1.136560242
"130","Bellator brachychir",230,"Curacao",1,40,"m",1.644295347,1.644295347
"131","Bellator brachychir",240,"Curacao",3,41,"m",2.350351807,7.051055421
"132","Bellator egretta",160,"Bonaire",1,7,"m",1.212877394,1.212877394
"133","Bellator egretta",170,"Bonaire",1,8,"m",1.172632844,1.172632844
"134","Bellator egretta",170,"Curacao",1,34,"m",1.172632844,1.172632844
"135","Bellator egretta",180,"Bonaire",4,9,"m",1.724533239,6.898132956
"136","Bellator egretta",180,"Curacao",2,35,"m",1.724533239,3.449066478
"137","Bellator egretta",190,"Curacao",1,36,"m",1.643187332,1.643187332
"138","Bellator egretta",210,"Bonaire",1,12,"m",1.454078712,1.454078712
"139","Bellator egretta",210,"Curacao",1,38,"m",1.454078712,1.454078712
"140","Bellator egretta",220,"Curacao",1,39,"m",1.136560242,1.136560242
"141","Bellator egretta",220,"St. Eustatius",1,109,"m",5.980952381,5.980952381
"142","Bellator egretta",230,"Bonaire",1,14,"m",1.644295347,1.644295347
"143","Bellator egretta",230,"Curacao",1,40,"m",1.644295347,1.644295347
"144","Bembrops sp.",160,"Roatan",1,69,"m",1.618181818,1.618181818
"145","Bembrops sp.",180,"Roatan",1,71,"m",2.870967742,2.870967742
"146","Bembrops sp.",210,"Roatan",4,74,"m",2.119047619,8.476190476
"147","Bembrops sp.",230,"Roatan",1,76,"m",1.589285714,1.589285714
"148","Bembrops sp.",240,"Roatan",2,77,"m",1.711538462,3.423076924
"149","Bodianus pulchellus",70,"Roatan",1,60,"m",2.656716418,2.656716418
"150","Bodianus pulchellus",90,"Roatan",4,62,"m",2.966666667,11.866666668
"151","Bodianus rufus",10,"Roatan",3,54,"m",2.225,6.675
"152","Bodianus rufus",20,"Roatan",1,55,"m",1.934782609,1.934782609
"153","Bodianus rufus",30,"Roatan",1,56,"m",1.034883721,1.034883721
"154","Bodianus rufus",40,"Roatan",2,57,"m",1.1125,2.225
"155","Bodianus rufus",40,"St. Eustatius",1,104,"m",10.87650602,10.87650602
"156","Bodianus rufus",50,"Bonaire",3,22,"m",0.999995899,2.999987697
"157","Bodianus rufus",50,"Roatan",3,58,"m",1.390625,4.171875
"158","Bodianus rufus",60,"Bonaire",1,23,"m",2.016114097,2.016114097
"159","Bodianus rufus",90,"Roatan",1,62,"m",2.966666667,2.966666667
"160","Bollmannia boqueronensis",70,"Bonaire",30,24,"m",2.085070543,62.55211629
"161","Bollmannia boqueronensis",80,"Bonaire",1,25,"m",1.181725224,1.181725224
"162","Bollmannia boqueronensis",100,"Bonaire",2,1,"m",1.379236425,2.75847285
"163","Bollmannia boqueronensis",110,"Bonaire",2,2,"m",1.161185714,2.322371428
"164","Bollmannia eigenmanni",80,"Bonaire",1,25,"m",1.181725224,1.181725224
"165","Brotula barbata",220,"St. Eustatius",1,109,"m",5.980952381,5.980952381
"166","Bullisichthys caribbaeus",80,"Bonaire",2,25,"m",1.181725224,2.363450448
"167","Bullisichthys caribbaeus",80,"Curacao",30,52,"m",1.181725224,35.45175672
"168","Bullisichthys caribbaeus",80,"St. Eustatius",301,100,"m",3.768327681,1134.266631981
"169","Bullisichthys caribbaeus",90,"Curacao",33,53,"m",1.187769118,39.196380894
"170","Bullisichthys caribbaeus",100,"Curacao",59,27,"m",1.379236425,81.374949075
"171","Bullisichthys caribbaeus",100,"St. Eustatius",40,121,"m",1.546301253,61.85205012
"172","Bullisichthys caribbaeus",110,"Curacao",106,28,"m",1.161185714,123.085685684
"173","Bullisichthys caribbaeus",110,"St. Eustatius",524,120,"m",1.300675371,681.553894404
"174","Bullisichthys caribbaeus",120,"Curacao",4,29,"m",1.127104229,4.508416916
"175","Bullisichthys caribbaeus",120,"Roatan",20,65,"m",2.170731707,43.41463414
"176","Bullisichthys caribbaeus",120,"St. Eustatius",239,119,"m",3.838426787,917.384002093
"177","Bullisichthys caribbaeus",130,"Curacao",30,30,"m",1.303308391,39.09925173
"178","Bullisichthys caribbaeus",130,"Roatan",10,66,"m",2.542857143,25.42857143
"179","Bullisichthys caribbaeus",130,"St. Eustatius",21,118,"m",3.42437174,71.91180654
"180","Bullisichthys caribbaeus",140,"Roatan",1,67,"m",1.893617021,1.893617021
"181","Bullisichthys caribbaeus",150,"St. Eustatius",1,116,"m",3.366899767,3.366899767
"182","Bullisichthys caribbaeus",160,"St. Eustatius",21,115,"m",4.342754059,91.197835239
"183","Calamus calamus",10,"Roatan",1,54,"m",2.225,2.225
"184","Cantherhines sp.",20,"Roatan",2,55,"m",1.934782609,3.869565218
"185","Canthidermis sufflamen",10,"Roatan",1,54,"m",2.225,2.225
"186","Canthidermis sufflamen",20,"Roatan",2,55,"m",1.934782609,3.869565218
"187","Canthidermis sufflamen",30,"Roatan",1,56,"m",1.034883721,1.034883721
"188","Canthidermis sufflamen",40,"St. Eustatius",3,104,"m",10.87650602,32.62951806
"189","Canthidermis sufflamen",50,"St. Eustatius",1,103,"m",15.20421053,15.20421053
"190","Canthidermis sufflamen",90,"St. Eustatius",1,99,"m",1,1
"191","Canthigaster jamestyleri",20,"Roatan",4,55,"m",1.934782609,7.739130436
"192","Canthigaster jamestyleri",40,"Roatan",1,57,"m",1.1125,1.1125
"193","Canthigaster jamestyleri",60,"Roatan",1,59,"m",1.893617021,1.893617021
"194","Canthigaster jamestyleri",70,"Curacao",64,51,"m",2.085070543,133.444514752
"195","Canthigaster jamestyleri",70,"Roatan",1,60,"m",2.656716418,2.656716418
"196","Canthigaster jamestyleri",80,"Curacao",2,52,"m",1.181725224,2.363450448
"197","Canthigaster jamestyleri",80,"Roatan",2,61,"m",2.472222222,4.944444444
"198","Canthigaster jamestyleri",90,"Curacao",23,53,"m",1.187769118,27.318689714
"199","Canthigaster jamestyleri",90,"Roatan",5,62,"m",2.966666667,14.833333335
"200","Canthigaster jamestyleri",100,"Roatan",1,63,"m",1.483333333,1.483333333
"201","Canthigaster jamestyleri",110,"Curacao",12,28,"m",1.161185714,13.934228568
"202","Canthigaster jamestyleri",110,"Roatan",2,64,"m",1.934782609,3.869565218
"203","Canthigaster jamestyleri",120,"Curacao",8,29,"m",1.127104229,9.016833832
"204","Canthigaster jamestyleri",120,"Roatan",3,65,"m",2.170731707,6.512195121
"205","Canthigaster jamestyleri",130,"Curacao",2,30,"m",1.303308391,2.606616782
"206","Canthigaster jamestyleri",130,"Roatan",6,66,"m",2.542857143,15.257142858
"207","Canthigaster jamestyleri",140,"Curacao",5,31,"m",1.365335946,6.82667973
"208","Canthigaster jamestyleri",140,"Roatan",13,67,"m",1.893617021,24.617021273
"209","Canthigaster jamestyleri",150,"Bonaire",1,6,"m",1.188927353,1.188927353
"210","Canthigaster jamestyleri",170,"Roatan",1,70,"m",1.022988506,1.022988506
"211","Canthigaster rostrata",10,"Roatan",444,54,"m",2.225,987.9
"212","Canthigaster rostrata",20,"Roatan",507,55,"m",1.934782609,980.934782763
"213","Canthigaster rostrata",30,"Roatan",661,56,"m",1.034883721,684.058139581
"214","Canthigaster rostrata",40,"Roatan",182,57,"m",1.1125,202.475
"215","Canthigaster rostrata",50,"Bonaire",1,22,"m",0.999995899,0.999995899
"216","Canthigaster rostrata",50,"Roatan",80,58,"m",1.390625,111.25
"217","Canthigaster rostrata",50,"St. Eustatius",1,103,"m",15.20421053,15.20421053
"218","Canthigaster rostrata",60,"Roatan",114,59,"m",1.893617021,215.872340394
"219","Canthigaster rostrata",70,"Bonaire",1,24,"m",2.085070543,2.085070543
"220","Canthigaster rostrata",70,"Roatan",198,60,"m",2.656716418,526.029850764
"221","Canthigaster rostrata",70,"St. Eustatius",2,101,"m",5.971062422,11.942124844
"222","Canthigaster rostrata",80,"Bonaire",2,25,"m",1.181725224,2.363450448
"223","Canthigaster rostrata",80,"Roatan",107,61,"m",2.472222222,264.527777754
"224","Canthigaster rostrata",80,"St. Eustatius",1,100,"m",3.768327681,3.768327681
"225","Canthigaster rostrata",90,"Bonaire",2,26,"m",1.187769118,2.375538236
"226","Canthigaster rostrata",90,"Roatan",381,62,"m",2.966666667,1130.300000127
"227","Canthigaster rostrata",90,"St. Eustatius",1,99,"m",1,1
"228","Canthigaster rostrata",100,"Bonaire",1,1,"m",1.379236425,1.379236425
"229","Canthigaster rostrata",100,"Roatan",27,63,"m",1.483333333,40.049999991
"230","Canthigaster rostrata",100,"St. Eustatius",1,121,"m",1.546301253,1.546301253
"231","Canthigaster rostrata",110,"Roatan",44,64,"m",1.934782609,85.130434796
"232","Canthigaster rostrata",120,"Roatan",28,65,"m",2.170731707,60.780487796
"233","Canthigaster rostrata",130,"Roatan",21,66,"m",2.542857143,53.400000003
"234","Canthigaster rostrata",140,"Roatan",16,67,"m",1.893617021,30.297872336
"235","Canthigaster rostrata",150,"Roatan",4,68,"m",2.022727273,8.090909092
"236","Canthigaster rostrata",210,"St. Eustatius",1,110,"m",2.498961938,2.498961938
"237","Carangoides bartholomaei",90,"Bonaire",10,26,"m",1.187769118,11.87769118
"238","Carangoides ruber",10,"Roatan",25,54,"m",2.225,55.625
"239","Carangoides ruber",20,"Roatan",12,55,"m",1.934782609,23.217391308
"240","Carangoides ruber",30,"Roatan",3,56,"m",1.034883721,3.104651163
"241","Carangoides ruber",40,"Roatan",7,57,"m",1.1125,7.7875
"242","Carangoides ruber",40,"St. Eustatius",1,104,"m",10.87650602,10.87650602
"243","Carangoides ruber",50,"Bonaire",1,22,"m",0.999995899,0.999995899
"244","Carangoides ruber",60,"Roatan",1,59,"m",1.893617021,1.893617021
"245","Carangoides ruber",70,"Bonaire",1,24,"m",2.085070543,2.085070543
"246","Carangoides ruber",70,"Roatan",1,60,"m",2.656716418,2.656716418
"247","Carangoides ruber",80,"Roatan",1,61,"m",2.472222222,2.472222222
"248","Carangoides ruber",150,"St. Eustatius",1,116,"m",3.366899767,3.366899767
"249","Carangoides ruber",180,"Roatan",4,71,"m",2.870967742,11.483870968
"250","Carangoides ruber",200,"Roatan",1,73,"m",1.369230769,1.369230769
"251","Caranx latus",20,"Roatan",1,55,"m",1.934782609,1.934782609
"252","Caranx latus",150,"Bonaire",1,6,"m",1.188927353,1.188927353
"253","Caranx lugubris",40,"Roatan",1,57,"m",1.1125,1.1125
"254","Caranx lugubris",90,"Roatan",3,62,"m",2.966666667,8.900000001
"255","Caranx lugubris",100,"Roatan",1,63,"m",1.483333333,1.483333333
"256","Caranx lugubris",110,"Roatan",4,64,"m",1.934782609,7.739130436
"257","Caranx lugubris",110,"St. Eustatius",1,120,"m",1.300675371,1.300675371
"258","Caranx lugubris",120,"Roatan",2,65,"m",2.170731707,4.341463414
"259","Caranx lugubris",140,"Roatan",1,67,"m",1.893617021,1.893617021
"260","Caranx lugubris",170,"Roatan",1,70,"m",1.022988506,1.022988506
"261","Caranx lugubris",180,"Roatan",2,71,"m",2.870967742,5.741935484
"262","Caranx lugubris",190,"Roatan",1,72,"m",1.934782609,1.934782609
"263","Caranx lugubris",200,"Roatan",1,73,"m",1.369230769,1.369230769
"264","Caranx lugubris",230,"Roatan",3,76,"m",1.589285714,4.767857142
"265","Caranx lugubris",240,"Roatan",1,77,"m",1.711538462,1.711538462
"266","Caranx lugubris",250,"Roatan",1,78,"m",1.034883721,1.034883721
"267","Caranx lugubris",290,"Roatan",1,82,"m",1.308823529,1.308823529
"268","Caulolatilus dooleyi",90,"Bonaire",1,26,"m",1.187769118,1.187769118
"269","Caulolatilus dooleyi",120,"Bonaire",1,3,"m",1.127104229,1.127104229
"270","Caulolatilus dooleyi",130,"Bonaire",1,4,"m",1.303308391,1.303308391
"271","Caulolatilus dooleyi",160,"Bonaire",1,7,"m",1.212877394,1.212877394
"272","Caulolatilus dooleyi",170,"Bonaire",4,8,"m",1.172632844,4.690531376
"273","Caulolatilus dooleyi",180,"Bonaire",1,9,"m",1.724533239,1.724533239
"274","Caulolatilus dooleyi",190,"Bonaire",3,10,"m",1.643187332,4.929561996
"275","Caulolatilus dooleyi",200,"Bonaire",3,11,"m",1.203301258,3.609903774
"276","Caulolatilus plumieri",130,"Bonaire",1,4,"m",1.303308391,1.303308391
"277","Caulolatilus plumieri",180,"Bonaire",1,9,"m",1.724533239,1.724533239
"278","Centropristis fuscula",40,"Curacao",1,48,"m",1.139215137,1.139215137
"279","Centropristis fuscula",70,"Curacao",2,51,"m",2.085070543,4.170141086
"280","Centropristis fuscula",90,"Curacao",1,53,"m",1.187769118,1.187769118
"281","Centropristis fuscula",110,"Curacao",1,28,"m",1.161185714,1.161185714
"282","Centropristis fuscula",120,"Curacao",3,29,"m",1.127104229,3.381312687
"283","Centropristis fuscula",150,"St. Eustatius",1,116,"m",3.366899767,3.366899767
"284","Centropristis fuscula",190,"Curacao",2,36,"m",1.643187332,3.286374664
"285","Centropristis fuscula",230,"Curacao",2,40,"m",1.644295347,3.288590694
"286","Centropristis fuscula",240,"Curacao",1,41,"m",2.350351807,2.350351807
"287","Centropyge argi",40,"Bonaire",1,21,"m",1.139215137,1.139215137
"288","Centropyge argi",40,"St. Eustatius",2,104,"m",10.87650602,21.75301204
"289","Centropyge argi",50,"Roatan",1,58,"m",1.390625,1.390625
"290","Centropyge argi",60,"Bonaire",2,23,"m",2.016114097,4.032228194
"291","Centropyge argi",60,"Curacao",30,50,"m",2.016114097,60.48342291
"292","Centropyge argi",60,"St. Eustatius",7,102,"m",6.826086957,47.782608699
"293","Centropyge argi",70,"Bonaire",18,24,"m",2.085070543,37.531269774
"294","Centropyge argi",70,"Curacao",8,51,"m",2.085070543,16.680564344
"295","Centropyge argi",70,"Roatan",1,60,"m",2.656716418,2.656716418
"296","Centropyge argi",70,"St. Eustatius",20,101,"m",5.971062422,119.42124844
"297","Centropyge argi",80,"Bonaire",6,25,"m",1.181725224,7.090351344
"298","Centropyge argi",80,"St. Eustatius",2,100,"m",3.768327681,7.536655362
"299","Centropyge argi",90,"Bonaire",2,26,"m",1.187769118,2.375538236
"300","Centropyge argi",90,"Curacao",1,53,"m",1.187769118,1.187769118
"301","Centropyge argi",90,"St. Eustatius",2,99,"m",1,2
"302","Cephalopholis cruentata",10,"Roatan",2,54,"m",2.225,4.45
"303","Cephalopholis cruentata",20,"Roatan",4,55,"m",1.934782609,7.739130436
"304","Cephalopholis cruentata",30,"Roatan",1,56,"m",1.034883721,1.034883721
"305","Cephalopholis cruentata",40,"Curacao",2,48,"m",1.139215137,2.278430274
"306","Cephalopholis cruentata",40,"Roatan",2,57,"m",1.1125,2.225
"307","Cephalopholis cruentata",40,"St. Eustatius",2,104,"m",10.87650602,21.75301204
"308","Cephalopholis cruentata",50,"Curacao",1,49,"m",0.999995899,0.999995899
"309","Cephalopholis cruentata",50,"Roatan",2,58,"m",1.390625,2.78125
"310","Cephalopholis cruentata",50,"St. Eustatius",1,103,"m",15.20421053,15.20421053
"311","Cephalopholis cruentata",60,"Bonaire",2,23,"m",2.016114097,4.032228194
"312","Cephalopholis cruentata",60,"Curacao",4,50,"m",2.016114097,8.064456388
"313","Cephalopholis cruentata",60,"Roatan",6,59,"m",1.893617021,11.361702126
"314","Cephalopholis cruentata",70,"Curacao",4,51,"m",2.085070543,8.340282172
"315","Cephalopholis cruentata",70,"Roatan",14,60,"m",2.656716418,37.194029852
"316","Cephalopholis cruentata",80,"Bonaire",1,25,"m",1.181725224,1.181725224
"317","Cephalopholis cruentata",80,"Curacao",2,52,"m",1.181725224,2.363450448
"318","Cephalopholis cruentata",80,"Roatan",3,61,"m",2.472222222,7.416666666
"319","Cephalopholis cruentata",80,"St. Eustatius",3,100,"m",3.768327681,11.304983043
"320","Cephalopholis cruentata",90,"Bonaire",18,26,"m",1.187769118,21.379844124
"321","Cephalopholis cruentata",90,"Curacao",5,53,"m",1.187769118,5.93884559
"322","Cephalopholis cruentata",90,"Roatan",4,62,"m",2.966666667,11.866666668
"323","Cephalopholis cruentata",90,"St. Eustatius",2,99,"m",1,2
"324","Cephalopholis cruentata",100,"Curacao",9,27,"m",1.379236425,12.413127825
"325","Cephalopholis cruentata",100,"Roatan",2,63,"m",1.483333333,2.966666666
"326","Cephalopholis cruentata",100,"St. Eustatius",4,121,"m",1.546301253,6.185205012
"327","Cephalopholis cruentata",110,"Bonaire",7,2,"m",1.161185714,8.128299998
"328","Cephalopholis cruentata",110,"Curacao",3,28,"m",1.161185714,3.483557142
"329","Cephalopholis cruentata",110,"Roatan",1,64,"m",1.934782609,1.934782609
"330","Cephalopholis cruentata",110,"St. Eustatius",3,120,"m",1.300675371,3.902026113
"331","Cephalopholis cruentata",120,"Curacao",1,29,"m",1.127104229,1.127104229
"332","Cephalopholis cruentata",120,"St. Eustatius",3,119,"m",3.838426787,11.515280361
"333","Cephalopholis cruentata",130,"Curacao",1,30,"m",1.303308391,1.303308391
"334","Cephalopholis cruentata",140,"St. Eustatius",1,117,"m",5.143874644,5.143874644
"335","Cephalopholis fulva",30,"Roatan",5,56,"m",1.034883721,5.174418605
"336","Cephalopholis fulva",50,"St. Eustatius",3,103,"m",15.20421053,45.61263159
"337","Chaetodon capistratus",10,"Roatan",23,54,"m",2.225,51.175
"338","Chaetodon capistratus",20,"Roatan",41,55,"m",1.934782609,79.326086969
