,species,dband,location,abundance,m,COEF,abu.corr,species.fb
21,Acanthurus tractus,50,St. Eustatius,1,m,15.20421053,15.20421053,Acanthurus tractus
22,Anisotremus surinamensis,40,Bonaire,1,m,1.139215137,1.139215137,Anisotremus surinamensis
23,Anisotremus virginicus,10,Roatan,2,m,2.225,4.45,Anisotremus virginicus
24,Anisotremus virginicus,20,Roatan,1,m,1.934782609,1.934782609,Anisotremus virginicus
25,Anthias asperilinguis,90,Curacao,1,m,1.187769118,1.187769118,Anthias asperilinguis
26,Anthias asperilinguis,120,Curacao,2,m,1.127104229,2.254208458,Anthias asperilinguis
27,Anthias asperilinguis,220,Curacao,3,m,1.136560242,3.409680726,Anthias asperilinguis
28,Anthias asperilinguis,230,Curacao,2,m,1.644295347,3.288590694,Anthias asperilinguis
29,Anthias asperilinguis,230,Roatan,1,m,1.589285714,1.589285714,Anthias asperilinguis
30,Anthias asperilinguis,240,Curacao,6,m,2.350351807,14.10211084,Anthias asperilinguis
31,Anthias asperilinguis,250,Curacao,2,m,3.051927409,6.103854818,Anthias asperilinguis
32,Anthias asperilinguis,270,Curacao,1,m,3.382094313,3.382094313,Anthias asperilinguis
33,Anthias asperilinguis,280,Roatan,1,m,2.022727273,2.022727273,Anthias asperilinguis
34,Anthias asperilinguis,290,Curacao,2,m,4.077742475,8.15548495,Anthias asperilinguis
35,Anthias asperilinguis,360,Roatan,1,m,8.090909091,8.090909091,Anthias asperilinguis
36,Antigonia capros,150,Curacao,1,m,1.188927353,1.188927353,Antigonia capros
37,Antigonia capros,160,Curacao,4,m,1.212877394,4.851509576,Antigonia capros
38,Antigonia capros,170,Curacao,4,m,1.172632844,4.690531376,Antigonia capros
39,Antigonia capros,180,Curacao,12,m,1.724533239,20.69439887,Antigonia capros
40,Antigonia capros,190,Curacao,2,m,1.643187332,3.286374664,Antigonia capros
41,Antigonia capros,200,Curacao,9,m,1.203301258,10.82971132,Antigonia capros
42,Antigonia capros,210,Curacao,11,m,1.454078712,15.99486583,Antigonia capros
43,Antigonia capros,220,Curacao,16,m,1.136560242,18.18496387,Antigonia capros
44,Antigonia capros,220,St. Eustatius,1,m,5.980952381,5.980952381,Antigonia capros
45,Antigonia capros,230,Curacao,9,m,1.644295347,14.79865812,Antigonia capros
46,Antigonia capros,240,Curacao,2,m,2.350351807,4.700703614,Antigonia capros
47,Antigonia capros,250,Curacao,3,m,3.051927409,9.155782227,Antigonia capros
48,Antigonia capros,270,Curacao,2,m,3.382094313,6.764188626,Antigonia capros
49,Antigonia capros,280,Curacao,2,m,3.295256757,6.590513514,Antigonia capros
50,Antigonia capros,290,Curacao,1,m,4.077742475,4.077742475,Antigonia capros
51,Antilligobius nikkiae,60,Bonaire,10,m,2.016114097,20.16114097,Antilligobius nikkiae
52,Antilligobius nikkiae,70,Bonaire,1,m,2.085070543,2.085070543,Antilligobius nikkiae
53,Antilligobius nikkiae,70,Roatan,15,m,2.656716418,39.85074627,Antilligobius nikkiae
54,Antilligobius nikkiae,80,Bonaire,21,m,1.181725224,24.8162297,Antilligobius nikkiae
55,Antilligobius nikkiae,80,Curacao,4,m,1.181725224,4.726900896,Antilligobius nikkiae
56,Antilligobius nikkiae,80,Roatan,11,m,2.472222222,27.19444444,Antilligobius nikkiae
57,Antilligobius nikkiae,90,Bonaire,101,m,1.187769118,119.9646809,Antilligobius nikkiae
58,Antilligobius nikkiae,90,Curacao,65,m,1.187769118,77.20499267,Antilligobius nikkiae
59,Antilligobius nikkiae,90,Roatan,231,m,2.966666667,685.3000001,Antilligobius nikkiae
60,Antilligobius nikkiae,90,St. Eustatius,9,m,1,9,Antilligobius nikkiae
61,Antilligobius nikkiae,100,Bonaire,1,m,1.379236425,1.379236425,Antilligobius nikkiae
62,Antilligobius nikkiae,100,Curacao,29,m,1.379236425,39.99785633,Antilligobius nikkiae
63,Antilligobius nikkiae,100,Roatan,9,m,1.483333333,13.35,Antilligobius nikkiae
64,Antilligobius nikkiae,100,St. Eustatius,151,m,1.546301253,233.4914892,Antilligobius nikkiae
65,Antilligobius nikkiae,110,Bonaire,100,m,1.161185714,116.1185714,Antilligobius nikkiae
66,Antilligobius nikkiae,110,Curacao,134,m,1.161185714,155.5988857,Antilligobius nikkiae
67,Antilligobius nikkiae,110,Roatan,3,m,1.934782609,5.804347827,Antilligobius nikkiae
68,Antilligobius nikkiae,110,St. Eustatius,357,m,1.300675371,464.3411074,Antilligobius nikkiae
69,Antilligobius nikkiae,120,Bonaire,32,m,1.127104229,36.06733533,Antilligobius nikkiae
70,Antilligobius nikkiae,120,Curacao,16,m,1.127104229,18.03366766,Antilligobius nikkiae
71,Antilligobius nikkiae,120,Roatan,15,m,2.170731707,32.56097561,Antilligobius nikkiae
72,Antilligobius nikkiae,120,St. Eustatius,351,m,3.838426787,1347.287802,Antilligobius nikkiae
73,Antilligobius nikkiae,130,Bonaire,12,m,1.303308391,15.63970069,Antilligobius nikkiae
74,Antilligobius nikkiae,130,Curacao,4,m,1.303308391,5.213233564,Antilligobius nikkiae
75,Antilligobius nikkiae,130,Roatan,45,m,2.542857143,114.4285714,Antilligobius nikkiae
76,Antilligobius nikkiae,130,St. Eustatius,160,m,3.42437174,547.8994784,Antilligobius nikkiae
77,Antilligobius nikkiae,140,Bonaire,1,m,1.365335946,1.365335946,Antilligobius nikkiae
78,Antilligobius nikkiae,140,Curacao,1,m,1.365335946,1.365335946,Antilligobius nikkiae
79,Antilligobius nikkiae,140,Roatan,129,m,1.893617021,244.2765957,Antilligobius nikkiae
80,Antilligobius nikkiae,140,St. Eustatius,21,m,5.143874644,108.0213675,Antilligobius nikkiae
81,Antilligobius nikkiae,150,Roatan,1,m,2.022727273,2.022727273,Antilligobius nikkiae
82,Antilligobius nikkiae,150,St. Eustatius,27,m,3.366899767,90.90629371,Antilligobius nikkiae
83,Antilligobius nikkiae,160,Roatan,5,m,1.618181818,8.09090909,Antilligobius nikkiae
84,Antilligobius nikkiae,170,Roatan,10,m,1.022988506,10.22988506,Antilligobius nikkiae
85,Antilligobius nikkiae,170,St. Eustatius,64,m,3.76734481,241.1100678,Antilligobius nikkiae
86,Antilligobius nikkiae,180,Curacao,1,m,1.724533239,1.724533239,Antilligobius nikkiae
87,Antilligobius nikkiae,180,Roatan,5,m,2.870967742,14.35483871,Antilligobius nikkiae
88,Antilligobius nikkiae,180,St. Eustatius,36,m,4.174566474,150.2843931,Antilligobius nikkiae
89,Antilligobius nikkiae,200,Curacao,1,m,1.203301258,1.203301258,Antilligobius nikkiae
90,Apogon gouldi,100,Curacao,3,m,1.379236425,4.137709275,Apogon gouldi
91,Apogon gouldi,110,Bonaire,1,m,1.161185714,1.161185714,Apogon gouldi
92,Apogon gouldi,110,Curacao,3,m,1.161185714,3.483557142,Apogon gouldi
93,Apogon gouldi,120,Curacao,2,m,1.127104229,2.254208458,Apogon gouldi
94,Apogon gouldi,130,Curacao,3,m,1.303308391,3.909925173,Apogon gouldi
95,Apogon gouldi,140,Curacao,5,m,1.365335946,6.82667973,Apogon gouldi
96,Apogon gouldi,150,Curacao,2,m,1.188927353,2.377854706,Apogon gouldi
97,Apogon gouldi,150,Roatan,2,m,2.022727273,4.045454546,Apogon gouldi
98,Apogon lachneri,90,Roatan,1,m,2.966666667,2.966666667,Apogon lachneri
99,Apogon maculatus,120,Bonaire,1,m,1.127104229,1.127104229,Apogon maculatus
100,Apogon pillionatus,70,St. Eustatius,2,m,5.971062422,11.94212484,Apogon pillionatus
101,Apogon pseudomaculatus,70,Bonaire,1,m,2.085070543,2.085070543,Apogon pseudomaculatus
102,Apogon pseudomaculatus,110,Bonaire,1,m,1.161185714,1.161185714,Apogon pseudomaculatus
103,Apogon pseudomaculatus,130,Bonaire,4,m,1.303308391,5.213233564,Apogon pseudomaculatus
104,Apsilus dentatus,90,Roatan,1,m,2.966666667,2.966666667,Apsilus dentatus
105,Aulopus filamentosus,280,Roatan,1,m,2.022727273,2.022727273,Aulopus filamentosus
106,Aulopus filamentosus,360,Roatan,1,m,8.090909091,8.090909091,Aulopus filamentosus
107,Aulostomus maculatus,20,Roatan,1,m,1.934782609,1.934782609,Aulostomus maculatus
108,Baldwinella vivanus,120,Curacao,2,m,1.127104229,2.254208458,Baldwinella vivanus
109,Baldwinella vivanus,120,St. Eustatius,1,m,3.838426787,3.838426787,Baldwinella vivanus
110,Baldwinella vivanus,140,Curacao,11,m,1.365335946,15.01869541,Baldwinella vivanus
111,Baldwinella vivanus,150,Bonaire,7,m,1.188927353,8.322491471,Baldwinella vivanus
112,Baldwinella vivanus,150,Curacao,4,m,1.188927353,4.755709412,Baldwinella vivanus
113,Baldwinella vivanus,160,Curacao,7,m,1.212877394,8.490141758,Baldwinella vivanus
114,Baldwinella vivanus,170,Bonaire,2,m,1.172632844,2.345265688,Baldwinella vivanus
115,Baldwinella vivanus,170,Curacao,3,m,1.172632844,3.517898532,Baldwinella vivanus
116,Baldwinella vivanus,180,Bonaire,2,m,1.724533239,3.449066478,Baldwinella vivanus
117,Baldwinella vivanus,180,Curacao,7,m,1.724533239,12.07173267,Baldwinella vivanus
118,Baldwinella vivanus,190,Curacao,12,m,1.643187332,19.71824798,Baldwinella vivanus
119,Baldwinella vivanus,200,Curacao,4,m,1.203301258,4.813205032,Baldwinella vivanus
120,Baldwinella vivanus,210,Curacao,3,m,1.454078712,4.362236136,Baldwinella vivanus
121,Baldwinella vivanus,220,Curacao,3,m,1.136560242,3.409680726,Baldwinella vivanus
122,Baldwinella vivanus,230,Curacao,1,m,1.644295347,1.644295347,Baldwinella vivanus
123,Baldwinella vivanus,230,St. Eustatius,1,m,2.26572549,2.26572549,Baldwinella vivanus
124,Bathyanthias sp.,210,Bonaire,3,m,1.454078712,4.362236136,Bathyanthias mexicanus
125,Bathyanthias sp.,270,St. Eustatius,1,m,18.23737374,18.23737374,Bathyanthias mexicanus
126,Bellator brachychir,170,Bonaire,2,m,1.172632844,2.345265688,Bellator brachychir
127,Bellator brachychir,190,Curacao,5,m,1.643187332,8.21593666,Bellator brachychir
128,Bellator brachychir,210,Bonaire,1,m,1.454078712,1.454078712,Bellator brachychir
129,Bellator brachychir,220,Curacao,1,m,1.136560242,1.136560242,Bellator brachychir
130,Bellator brachychir,230,Curacao,1,m,1.644295347,1.644295347,Bellator brachychir
131,Bellator brachychir,240,Curacao,3,m,2.350351807,7.051055421,Bellator brachychir
132,Bellator egretta,160,Bonaire,1,m,1.212877394,1.212877394,Bellator egretta
133,Bellator egretta,170,Bonaire,1,m,1.172632844,1.172632844,Bellator egretta
134,Bellator egretta,170,Curacao,1,m,1.172632844,1.172632844,Bellator egretta
135,Bellator egretta,180,Bonaire,4,m,1.724533239,6.898132956,Bellator egretta
136,Bellator egretta,180,Curacao,2,m,1.724533239,3.449066478,Bellator egretta
137,Bellator egretta,190,Curacao,1,m,1.643187332,1.643187332,Bellator egretta
138,Bellator egretta,210,Bonaire,1,m,1.454078712,1.454078712,Bellator egretta
139,Bellator egretta,210,Curacao,1,m,1.454078712,1.454078712,Bellator egretta
140,Bellator egretta,220,Curacao,1,m,1.136560242,1.136560242,Bellator egretta
141,Bellator egretta,220,St. Eustatius,1,m,5.980952381,5.980952381,Bellator egretta
142,Bellator egretta,230,Bonaire,1,m,1.644295347,1.644295347,Bellator egretta
143,Bellator egretta,230,Curacao,1,m,1.644295347,1.644295347,Bellator egretta
144,Bembrops sp.,160,Roatan,1,m,1.618181818,1.618181818,Bembrops gobioides
145,Bembrops sp.,180,Roatan,1,m,2.870967742,2.870967742,Bembrops gobioides
146,Bembrops sp.,210,Roatan,4,m,2.119047619,8.476190476,Bembrops gobioides
147,Bembrops sp.,230,Roatan,1,m,1.589285714,1.589285714,Bembrops gobioides
148,Bembrops sp.,240,Roatan,2,m,1.711538462,3.423076924,Bembrops gobioides
149,Bodianus pulchellus,70,Roatan,1,m,2.656716418,2.656716418,Bodianus pulchellus
150,Bodianus pulchellus,90,Roatan,4,m,2.966666667,11.86666667,Bodianus pulchellus
151,Bodianus rufus,10,Roatan,3,m,2.225,6.675,Bodianus rufus
152,Bodianus rufus,20,Roatan,1,m,1.934782609,1.934782609,Bodianus rufus
153,Bodianus rufus,30,Roatan,1,m,1.034883721,1.034883721,Bodianus rufus
154,Bodianus rufus,40,Roatan,2,m,1.1125,2.225,Bodianus rufus
155,Bodianus rufus,40,St. Eustatius,1,m,10.87650602,10.87650602,Bodianus rufus
156,Bodianus rufus,50,Bonaire,3,m,0.999995899,2.999987697,Bodianus rufus
157,Bodianus rufus,50,Roatan,3,m,1.390625,4.171875,Bodianus rufus
158,Bodianus rufus,60,Bonaire,1,m,2.016114097,2.016114097,Bodianus rufus
159,Bodianus rufus,90,Roatan,1,m,2.966666667,2.966666667,Bodianus rufus
160,Bollmannia boqueronensis,70,Bonaire,30,m,2.085070543,62.55211629,Bollmannia boqueronensis
161,Bollmannia boqueronensis,80,Bonaire,1,m,1.181725224,1.181725224,Bollmannia boqueronensis
162,Bollmannia boqueronensis,100,Bonaire,2,m,1.379236425,2.75847285,Bollmannia boqueronensis
163,Bollmannia boqueronensis,110,Bonaire,2,m,1.161185714,2.322371428,Bollmannia boqueronensis
164,Bollmannia eigenmanni,80,Bonaire,1,m,1.181725224,1.181725224,Bollmannia eigenmanni
165,Brotula barbata,220,St. Eustatius,1,m,5.980952381,5.980952381,Brotula barbata
166,Bullisichthys caribbaeus,80,Bonaire,2,m,1.181725224,2.363450448,Bullisichthys caribbaeus
167,Bullisichthys caribbaeus,80,Curacao,30,m,1.181725224,35.45175672,Bullisichthys caribbaeus
168,Bullisichthys caribbaeus,80,St. Eustatius,301,m,3.768327681,1134.266632,Bullisichthys caribbaeus
169,Bullisichthys caribbaeus,90,Curacao,33,m,1.187769118,39.19638089,Bullisichthys caribbaeus
170,Bullisichthys caribbaeus,100,Curacao,59,m,1.379236425,81.37494908,Bullisichthys caribbaeus
171,Bullisichthys caribbaeus,100,St. Eustatius,40,m,1.546301253,61.85205012,Bullisichthys caribbaeus
172,Bullisichthys caribbaeus,110,Curacao,106,m,1.161185714,123.0856857,Bullisichthys caribbaeus
173,Bullisichthys caribbaeus,110,St. Eustatius,524,m,1.300675371,681.5538944,Bullisichthys caribbaeus
174,Bullisichthys caribbaeus,120,Curacao,4,m,1.127104229,4.508416916,Bullisichthys caribbaeus
175,Bullisichthys caribbaeus,120,Roatan,20,m,2.170731707,43.41463414,Bullisichthys caribbaeus
176,Bullisichthys caribbaeus,120,St. Eustatius,239,m,3.838426787,917.3840021,Bullisichthys caribbaeus
177,Bullisichthys caribbaeus,130,Curacao,30,m,1.303308391,39.09925173,Bullisichthys caribbaeus
178,Bullisichthys caribbaeus,130,Roatan,10,m,2.542857143,25.42857143,Bullisichthys caribbaeus
179,Bullisichthys caribbaeus,130,St. Eustatius,21,m,3.42437174,71.91180654,Bullisichthys caribbaeus
180,Bullisichthys caribbaeus,140,Roatan,1,m,1.893617021,1.893617021,Bullisichthys caribbaeus
181,Bullisichthys caribbaeus,150,St. Eustatius,1,m,3.366899767,3.366899767,Bullisichthys caribbaeus
182,Bullisichthys caribbaeus,160,St. Eustatius,21,m,4.342754059,91.19783524,Bullisichthys caribbaeus
183,Calamus calamus,10,Roatan,1,m,2.225,2.225,Calamus calamus
184,Cantherhines sp.,20,Roatan,2,m,1.934782609,3.869565218,Cantherhines pullus
185,Canthidermis sufflamen,10,Roatan,1,m,2.225,2.225,Canthidermis sufflamen
186,Canthidermis sufflamen,20,Roatan,2,m,1.934782609,3.869565218,Canthidermis sufflamen
187,Canthidermis sufflamen,30,Roatan,1,m,1.034883721,1.034883721,Canthidermis sufflamen
188,Canthidermis sufflamen,40,St. Eustatius,3,m,10.87650602,32.62951806,Canthidermis sufflamen
189,Canthidermis sufflamen,50,St. Eustatius,1,m,15.20421053,15.20421053,Canthidermis sufflamen
190,Canthidermis sufflamen,90,St. Eustatius,1,m,1,1,Canthidermis sufflamen
191,Canthigaster jamestyleri,20,Roatan,4,m,1.934782609,7.739130436,Canthigaster jamestyleri
192,Canthigaster jamestyleri,40,Roatan,1,m,1.1125,1.1125,Canthigaster jamestyleri
193,Canthigaster jamestyleri,60,Roatan,1,m,1.893617021,1.893617021,Canthigaster jamestyleri
194,Canthigaster jamestyleri,70,Curacao,64,m,2.085070543,133.4445148,Canthigaster jamestyleri
195,Canthigaster jamestyleri,70,Roatan,1,m,2.656716418,2.656716418,Canthigaster jamestyleri
196,Canthigaster jamestyleri,80,Curacao,2,m,1.181725224,2.363450448,Canthigaster jamestyleri
197,Canthigaster jamestyleri,80,Roatan,2,m,2.472222222,4.944444444,Canthigaster jamestyleri
198,Canthigaster jamestyleri,90,Curacao,23,m,1.187769118,27.31868971,Canthigaster jamestyleri
199,Canthigaster jamestyleri,90,Roatan,5,m,2.966666667,14.83333334,Canthigaster jamestyleri
200,Canthigaster jamestyleri,100,Roatan,1,m,1.483333333,1.483333333,Canthigaster jamestyleri
201,Canthigaster jamestyleri,110,Curacao,12,m,1.161185714,13.93422857,Canthigaster jamestyleri
202,Canthigaster jamestyleri,110,Roatan,2,m,1.934782609,3.869565218,Canthigaster jamestyleri
203,Canthigaster jamestyleri,120,Curacao,8,m,1.127104229,9.016833832,Canthigaster jamestyleri
204,Canthigaster jamestyleri,120,Roatan,3,m,2.170731707,6.512195121,Canthigaster jamestyleri
205,Canthigaster jamestyleri,130,Curacao,2,m,1.303308391,2.606616782,Canthigaster jamestyleri
206,Canthigaster jamestyleri,130,Roatan,6,m,2.542857143,15.25714286,Canthigaster jamestyleri
207,Canthigaster jamestyleri,140,Curacao,5,m,1.365335946,6.82667973,Canthigaster jamestyleri
208,Canthigaster jamestyleri,140,Roatan,13,m,1.893617021,24.61702127,Canthigaster jamestyleri
209,Canthigaster jamestyleri,150,Bonaire,1,m,1.188927353,1.188927353,Canthigaster jamestyleri
210,Canthigaster jamestyleri,170,Roatan,1,m,1.022988506,1.022988506,Canthigaster jamestyleri
211,Canthigaster rostrata,10,Roatan,444,m,2.225,987.9,Canthigaster rostrata
212,Canthigaster rostrata,20,Roatan,507,m,1.934782609,980.9347828,Canthigaster rostrata
213,Canthigaster rostrata,30,Roatan,661,m,1.034883721,684.0581396,Canthigaster rostrata
214,Canthigaster rostrata,40,Roatan,182,m,1.1125,202.475,Canthigaster rostrata
215,Canthigaster rostrata,50,Bonaire,1,m,0.999995899,0.999995899,Canthigaster rostrata
216,Canthigaster rostrata,50,Roatan,80,m,1.390625,111.25,Canthigaster rostrata
217,Canthigaster rostrata,50,St. Eustatius,1,m,15.20421053,15.20421053,Canthigaster rostrata
218,Canthigaster rostrata,60,Roatan,114,m,1.893617021,215.8723404,Canthigaster rostrata
219,Canthigaster rostrata,70,Bonaire,1,m,2.085070543,2.085070543,Canthigaster rostrata
220,Canthigaster rostrata,70,Roatan,198,m,2.656716418,526.0298508,Canthigaster rostrata
221,Canthigaster rostrata,70,St. Eustatius,2,m,5.971062422,11.94212484,Canthigaster rostrata
222,Canthigaster rostrata,80,Bonaire,2,m,1.181725224,2.363450448,Canthigaster rostrata
223,Canthigaster rostrata,80,Roatan,107,m,2.472222222,264.5277778,Canthigaster rostrata
224,Canthigaster rostrata,80,St. Eustatius,1,m,3.768327681,3.768327681,Canthigaster rostrata
225,Canthigaster rostrata,90,Bonaire,2,m,1.187769118,2.375538236,Canthigaster rostrata
226,Canthigaster rostrata,90,Roatan,381,m,2.966666667,1130.3,Canthigaster rostrata
227,Canthigaster rostrata,90,St. Eustatius,1,m,1,1,Canthigaster rostrata
228,Canthigaster rostrata,100,Bonaire,1,m,1.379236425,1.379236425,Canthigaster rostrata
229,Canthigaster rostrata,100,Roatan,27,m,1.483333333,40.04999999,Canthigaster rostrata
230,Canthigaster rostrata,100,St. Eustatius,1,m,1.546301253,1.546301253,Canthigaster rostrata
231,Canthigaster rostrata,110,Roatan,44,m,1.934782609,85.1304348,Canthigaster rostrata
232,Canthigaster rostrata,120,Roatan,28,m,2.170731707,60.7804878,Canthigaster rostrata
233,Canthigaster rostrata,130,Roatan,21,m,2.542857143,53.4,Canthigaster rostrata
234,Canthigaster rostrata,140,Roatan,16,m,1.893617021,30.29787234,Canthigaster rostrata
235,Canthigaster rostrata,150,Roatan,4,m,2.022727273,8.090909092,Canthigaster rostrata
236,Canthigaster rostrata,210,St. Eustatius,1,m,2.498961938,2.498961938,Canthigaster rostrata
237,Carangoides bartholomaei,90,Bonaire,10,m,1.187769118,11.87769118,Carangoides bartholomaei
238,Carangoides ruber,10,Roatan,25,m,2.225,55.625,Caranx ruber
239,Carangoides ruber,20,Roatan,12,m,1.934782609,23.21739131,Caranx ruber
240,Carangoides ruber,30,Roatan,3,m,1.034883721,3.104651163,Caranx ruber
241,Carangoides ruber,40,Roatan,7,m,1.1125,7.7875,Caranx ruber
242,Carangoides ruber,40,St. Eustatius,1,m,10.87650602,10.87650602,Caranx ruber
243,Carangoides ruber,50,Bonaire,1,m,0.999995899,0.999995899,Caranx ruber
244,Carangoides ruber,60,Roatan,1,m,1.893617021,1.893617021,Caranx ruber
245,Carangoides ruber,70,Bonaire,1,m,2.085070543,2.085070543,Caranx ruber
246,Carangoides ruber,70,Roatan,1,m,2.656716418,2.656716418,Caranx ruber
247,Carangoides ruber,80,Roatan,1,m,2.472222222,2.472222222,Caranx ruber
248,Carangoides ruber,150,St. Eustatius,1,m,3.366899767,3.366899767,Caranx ruber
249,Carangoides ruber,180,Roatan,4,m,2.870967742,11.48387097,Caranx ruber
250,Carangoides ruber,200,Roatan,1,m,1.369230769,1.369230769,Caranx ruber
251,Caranx latus,20,Roatan,1,m,1.934782609,1.934782609,Caranx latus
252,Caranx latus,150,Bonaire,1,m,1.188927353,1.188927353,Caranx latus
253,Caranx lugubris,40,Roatan,1,m,1.1125,1.1125,Caranx lugubris
254,Caranx lugubris,90,Roatan,3,m,2.966666667,8.900000001,Caranx lugubris
255,Caranx lugubris,100,Roatan,1,m,1.483333333,1.483333333,Caranx lugubris
256,Caranx lugubris,110,Roatan,4,m,1.934782609,7.739130436,Caranx lugubris
257,Caranx lugubris,110,St. Eustatius,1,m,1.300675371,1.300675371,Caranx lugubris
258,Caranx lugubris,120,Roatan,2,m,2.170731707,4.341463414,Caranx lugubris
259,Caranx lugubris,140,Roatan,1,m,1.893617021,1.893617021,Caranx lugubris
260,Caranx lugubris,170,Roatan,1,m,1.022988506,1.022988506,Caranx lugubris
261,Caranx lugubris,180,Roatan,2,m,2.870967742,5.741935484,Caranx lugubris
262,Caranx lugubris,190,Roatan,1,m,1.934782609,1.934782609,Caranx lugubris
263,Caranx lugubris,200,Roatan,1,m,1.369230769,1.369230769,Caranx lugubris
264,Caranx lugubris,230,Roatan,3,m,1.589285714,4.767857142,Caranx lugubris
265,Caranx lugubris,240,Roatan,1,m,1.711538462,1.711538462,Caranx lugubris
266,Caranx lugubris,250,Roatan,1,m,1.034883721,1.034883721,Caranx lugubris
267,Caranx lugubris,290,Roatan,1,m,1.308823529,1.308823529,Caranx lugubris
268,Caulolatilus dooleyi,90,Bonaire,1,m,1.187769118,1.187769118,Caulolatilus dooleyi
269,Caulolatilus dooleyi,120,Bonaire,1,m,1.127104229,1.127104229,Caulolatilus dooleyi
270,Caulolatilus dooleyi,130,Bonaire,1,m,1.303308391,1.303308391,Caulolatilus dooleyi
271,Caulolatilus dooleyi,160,Bonaire,1,m,1.212877394,1.212877394,Caulolatilus dooleyi
272,Caulolatilus dooleyi,170,Bonaire,4,m,1.172632844,4.690531376,Caulolatilus dooleyi
273,Caulolatilus dooleyi,180,Bonaire,1,m,1.724533239,1.724533239,Caulolatilus dooleyi
274,Caulolatilus dooleyi,190,Bonaire,3,m,1.643187332,4.929561996,Caulolatilus dooleyi
275,Caulolatilus dooleyi,200,Bonaire,3,m,1.203301258,3.609903774,Caulolatilus dooleyi
276,Caulolatilus plumieri,130,Bonaire,1,m,1.303308391,1.303308391,Malacanthus plumieri
277,Caulolatilus plumieri,180,Bonaire,1,m,1.724533239,1.724533239,Malacanthus plumieri
278,Centropristis fuscula,40,Curacao,1,m,1.139215137,1.139215137,Centropristis fuscula
279,Centropristis fuscula,70,Curacao,2,m,2.085070543,4.170141086,Centropristis fuscula
280,Centropristis fuscula,90,Curacao,1,m,1.187769118,1.187769118,Centropristis fuscula
281,Centropristis fuscula,110,Curacao,1,m,1.161185714,1.161185714,Centropristis fuscula
282,Centropristis fuscula,120,Curacao,3,m,1.127104229,3.381312687,Centropristis fuscula
283,Centropristis fuscula,150,St. Eustatius,1,m,3.366899767,3.366899767,Centropristis fuscula
284,Centropristis fuscula,190,Curacao,2,m,1.643187332,3.286374664,Centropristis fuscula
285,Centropristis fuscula,230,Curacao,2,m,1.644295347,3.288590694,Centropristis fuscula
286,Centropristis fuscula,240,Curacao,1,m,2.350351807,2.350351807,Centropristis fuscula
287,Centropyge argi,40,Bonaire,1,m,1.139215137,1.139215137,Centropyge argi
288,Centropyge argi,40,St. Eustatius,2,m,10.87650602,21.75301204,Centropyge argi
289,Centropyge argi,50,Roatan,1,m,1.390625,1.390625,Centropyge argi
290,Centropyge argi,60,Bonaire,2,m,2.016114097,4.032228194,Centropyge argi
291,Centropyge argi,60,Curacao,30,m,2.016114097,60.48342291,Centropyge argi
292,Centropyge argi,60,St. Eustatius,7,m,6.826086957,47.7826087,Centropyge argi
293,Centropyge argi,70,Bonaire,18,m,2.085070543,37.53126977,Centropyge argi
294,Centropyge argi,70,Curacao,8,m,2.085070543,16.68056434,Centropyge argi
295,Centropyge argi,70,Roatan,1,m,2.656716418,2.656716418,Centropyge argi
296,Centropyge argi,70,St. Eustatius,20,m,5.971062422,119.4212484,Centropyge argi
297,Centropyge argi,80,Bonaire,6,m,1.181725224,7.090351344,Centropyge argi
