"","Anthias asperilinguis","Antigonia capros","Antilligobius nikkiae","Apogon gouldi","Baldwinella vivanus","Bellator brachychir","Bellator egretta","Bullisichthys caribbaeus","Canthigaster jamestyleri","Centropristis fuscula","Centropyge argi","Cephalopholis cruentata","Chaetodon capistratus","Chaunax pictus","Choranthias tenuis","Chrionema squamentum","Chromis cyanea","Chromis enchrysura","Chromis insolata","Chromis multilineata","Chromis scotti","Clepticus parrae","Corniger spinosus","Coryphopterus curasub","Decodon puellaris","Decodon shallow","Flammeo marianus","Foetorepus agassizii","Gephyroberyx darwinii","Gonioplectrus hispanus","Gramma loreto","Haemulon flavolineatum","Haemulon striatum","Haemulon vittata","Haptoclinus dropi","Hemanthias leptus","Jeboehlkia gladifer","Liopropoma aberrans","Liopropoma mowbrayi","Liopropoma olneyi","Liopropoma santi","Lipogramma barrettorum","Lipogramma evides","Lipogramma haberi","Lipogramma klayi","Lipogramma levinsoni","Lipogramma schrieri","Myripristis jacobus","Opistognathus schrieri","Ostichthys trachypoma","Palatogobius incendius","Paranthias furcifer","Paroncheilus affinis","Plectranthias sp.","Polylepion sp.","Pontinus castor","Pontinus nematophthalmus","Pristigenys alta","Pristipomoides macrophthalmus","Prognathodes aculeatus","Prognathodes guyanensis","Pronotogrammus martinicensis","Ptereleotris helenae","Serranus luciopercanus","Serranus notospilus","Serranus phoebe","Sphyraenops bairdianus","Stegastes partitus","Symphysanodon berryi","Symphysanodon octoactinus","Varicus decorum","Varicus veliguttatus","Xanthichthys ringens"
"140",0,0,1.16847590732544,2.61279155885042,3.87539616116856,0,0,0,2.61279155885042,0,0,0,0,0,1.65247447544584,0,0,1.16847590732544,0,0,0,0,1.16847590732544,0,0,0,0,0,0,3.30494895089168,0,0,0,0,0,0,0,2.33695181465087,0,3.09149666375366,0,0,0,0,0,2.0238596389078,0,0,0,0,9.05097545903203,0,0,0,0,0,0,0,0,0,2.0238596389078,6.07157891672339,0,0,3.30494895089168,3.30494895089168,0,0,0,1.16847590732544,0,0,0
"150",0,1.09037945367656,0,1.54202941152236,2.18075890735313,0,0,0,0,0,0,0,0,0,1.09037945367656,1.09037945367656,0,0,0,0,0,0,1.54202941152236,0,0,1.09037945367656,0,0,0,3.93141902994326,0,0,0,0,1.09037945367656,0,0,3.08405882304472,0,3.777185226594,0,0,2.43816257968988,1.09037945367656,0,1.09037945367656,0,0,1.09037945367656,0,6.16811764608945,0,0,0,0,2.43816257968988,1.54202941152236,0,0,0,1.54202941152236,7.86283805988652,0,0,2.88487286912266,0,0,0,1.09037945367656,3.448082587468,0,1.09037945367656,0
"160",0,2.20261425946533,0,0,2.91378478237498,0,0,0,0,0,0,0,0,0,1.10130712973266,1.10130712973266,0,0,0,0,0,0,1.55748347920612,0,1.90751990343482,0,0,0,1.10130712973266,3.48263893333776,0,0,0,0,1.10130712973266,0,0,1.10130712973266,0,2.91378478237498,0,1.10130712973266,2.46259760618742,0,0,0,0,0,0,2.20261425946533,0,0,0,0,0,1.55748347920612,1.55748347920612,1.55748347920612,0,0,2.69764051793414,10.6206213397334,0,0,2.69764051793414,1.55748347920612,0,0,2.46259760618742,6.32652779982828,1.10130712973266,0,0
"170",0,2.16576346261544,0,0,1.87560617721312,0,1.08288173130772,0,0,0,0,0,0,0,1.08288173130772,0,0,0,0,0,0,0,1.08288173130772,0,0,0,0,0,0,2.42139716279672,0,0,0,0,0,0,3.24864519392315,2.16576346261544,0,2.42139716279672,0,0,3.59151239507815,0,0,0,1.87560617721312,0,0,1.87560617721312,0,0,0,0,0,0,1.53142603086143,1.08288173130772,0,0,1.08288173130772,5.0791655385506,0,0,2.16576346261544,2.16576346261544,0,0,0,7.10093038214008,0,0,0
"180",0,4.54910967860745,1.31321484875857,0,3.47443990781248,0,1.85716624942411,0,0,0,0,0,0,0,2.27455483930373,1.85716624942411,0,0,0,0,0,0,1.31321484875857,0,1.85716624942411,1.31321484875857,0,0,0,2.27455483930373,0,0,0,0,0,0,2.62642969751714,0,0,4.54910967860745,1.31321484875857,0,3.93964454627572,1.31321484875857,0,0,1.31321484875857,0,0,3.47443990781248,1.31321484875857,0,0,0,0,1.85716624942411,2.27455483930373,1.85716624942411,0,0,0,9.00294741920667,0,0,4.15274997923063,1.31321484875857,0,0,2.27455483930373,6.01790644817614,0,1.31321484875857,0
"190",0,1.81283608304778,0,0,4.44052339077276,2.86634552348456,1.28186868750274,0,0,1.81283608304778,0,0,0,0,0,2.22026169538638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39150576057302,0,0,2.56373737500548,0,0,3.84560606250822,0,0,0,1.28186868750274,0,0,1.28186868750274,0,0,0,0,0,1.81283608304778,1.81283608304778,0,0,0,0,5.28527999674568,0,0,4.96465607872288,0,0,0,2.86634552348456,3.39150576057302,0,1.28186868750274,0
"200",0,3.29085267400411,1.0969508913347,0,2.19390178266941,0,0,0,0,0,0,0,0,0,0,1.0969508913347,0,0,0,0,0,0,0,0,1.0969508913347,0,0,0,0,1.55132282778279,0,0,0,0,0,0,1.89997467719967,0,0,0,0,0,1.89997467719967,0,0,0,0,0,0,2.90225925892226,1.0969508913347,0,0,0,0,1.55132282778279,2.19390178266941,0,0,0,1.0969508913347,2.68696995666122,0,0,4.90571352200676,0,0,0,2.90225925892226,2.68696995666122,0,0,0
"210",0,3.99935817750799,0,0,2.08859669060353,0,1.20585186154851,0,0,0,0,0,0,0,0,3.19038414364164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69636673321713,0,0,0,0,0,1.70533205681474,0,0,0,0,0,0,2.95372176617907,0,0,0,0,1.20585186154851,1.70533205681474,1.70533205681474,0,1.20585186154851,0,1.20585186154851,1.70533205681474,0,0,3.19038414364164,0,0,0,3.8132384032473,2.41170372309701,0,0,0
"220",1.84653208095608,4.2643831760291,0,0,1.84653208095608,1.06609579400727,1.06609579400727,0,0,0,0,0,0,0,0,4.12897125565194,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06609579400727,0,0,0,0,0,0,1.84653208095608,0,0,1.507687130674,0,0,0,0,0,0,0,0,0,3.53583973929815,0,0,0,0,0,0,0,0,0,0,0,2.38386266592688,0,0,3.69306416191216,0,0,0,3.98896520265595,4.12897125565194,1.06609579400727,1.06609579400727,0
"230",1.81344718533516,3.84690240622244,0,0,1.28230080207415,1.28230080207415,1.28230080207415,0,0,1.81344718533516,0,0,0,0,0,4.79793026814688,0,0,0,0,0,0,1.28230080207415,0,1.28230080207415,0,0,0,1.81344718533516,0,0,0,0,0,0,0,3.62689437067031,0,0,0,0,0,0,1.28230080207415,0,0,0,0,0,7.58619385100328,0,0,0,0,0,0,1.28230080207415,0,0,0,0,1.28230080207415,0,0,3.62689437067031,0,0,0,5.73462352208059,4.25291062885173,0,0,0
"240",3.75527773167312,2.16811060926328,0,0,0,2.6553823493049,0,0,0,1.53308571417256,0,0,0,1.53308571417256,0,4.05616353824646,0,0,0,0,0,0,0,0,0,0,0,1.53308571417256,0,0,0,0,0,0,0,0,3.06617142834513,1.53308571417256,0,0,1.53308571417256,0,1.53308571417256,0,0,0,0,0,0,2.6553823493049,0,0,0,0,0,1.53308571417256,1.53308571417256,0,0,0,0,0,0,0,0,0,0,0,5.73628148699138,0,0,0,0
"250",2.47059806888939,3.02585231414225,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49395329619616,0,0,0,0,0,0,0,0,0,0,0,2.47059806888939,1.74697664809808,0,0,0,0,0,0,0,3.90635854025203,0,0,0,0,0,0,0,0,0,0,0,0,4.27920138039798,0,0,0,0,1.74697664809808,0,1.74697664809808,0,0,0,0,0,0,0,0,0,0,0,6.53658807987776,2.47059806888939,0,0,0
"260",0,0,0,0,0,0,0,0,0,0,0,0,0,1.68978540264733,0,2.38971743392394,0,0,0,0,0,0,0,0,0,0,0,0,2.38971743392394,0,0,0,0,0,0,0,2.38971743392394,0,0,0,0,0,1.68978540264733,0,0,0,0,0,0,5.34357062927028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37957080529466,0,3.37957080529466,0,0,0,0
"270",1.83904712092975,2.60080538026204,0,0,0,0,0,0,0,0,0,0,0,1.83904712092975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1122343762242,0,0,0,0,0,0,0,2.60080538026204,0,0,0,0,0,0,0,0,0,0,0,0,1.83904712092975,0,0,0,0,1.83904712092975,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18532305096359,0,0,0,0
"280",0,2.56719954697721,0,0,0,0,0,0,0,0,0,0,0,2.56719954697721,0,12.5766579159966,0,0,0,0,0,0,0,0,0,0,0,3.14416447899915,1.81528420832662,0,0,0,0,0,0,0,1.81528420832662,0,0,0,0,0,0,0,0,0,0,0,0,1.81528420832662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.56719954697721,0,2.56719954697721,0,0,0,0
"290",2.85578097024264,2.01934208964207,0,0,0,0,0,0,0,0,0,0,0,2.01934208964207,0,14.9758417501321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01934208964207,0,0,0,0,0,0,7.55568624613278,0,0,0,0
"300",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.86297136590641,13.1197829967572,0,0,0,0,0,0,0,0,0,0,0,2.86297136590641,0,0,0,0,0,0,0,0,2.86297136590641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.86297136590641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
