,species,dband,location,hab,abundance,m,COEF,abu.corr,species.fb,lwa_m,lwa_sd,lwb_m,lwb_sd,maxTL,maxDepth,length,biomass
21,Acanthurus tractus,50,St. Eustatius,deep,1,m,15.20421053,15.20421053,Acanthurus tractus,0.0195,0.005673469,2.91,0.066326531,35.24736842,NA,26.43552632,4079.110344
22,Anisotremus surinamensis,40,Bonaire,deep,1,m,1.139215137,1.139215137,Anisotremus surinamensis,0.02042,0.006852041,3.01,0.076530612,76,20,57,4485.850546
23,Anisotremus virginicus,10,Roatan,shallow,2,m,2.225,4.45,Anisotremus virginicus,0.01514,0.005193878,3.05,0.076530612,40.6,20,30.45,2256.457416
24,Anisotremus virginicus,20,Roatan,shallow,1,m,1.934782609,1.934782609,Anisotremus virginicus,0.01514,0.005193878,3.05,0.076530612,40.6,20,30.45,981.0684419
25,Anthias asperilinguis,90,Curacao,deep,1,m,1.187769118,1.187769118,Anthias asperilinguis,0.00955,0.007142857,2.97,0.107142857,15.6,320,11.7,16.87514101
26,Anthias asperilinguis,120,Curacao,deep,2,m,1.127104229,2.254208458,Anthias asperilinguis,0.00955,0.007142857,2.97,0.107142857,15.6,320,11.7,32.02649825
27,Anthias asperilinguis,220,Curacao,deep,3,m,1.136560242,3.409680726,Anthias asperilinguis,0.00955,0.007142857,2.97,0.107142857,15.6,320,11.7,48.44278418
28,Anthias asperilinguis,230,Curacao,deep,2,m,1.644295347,3.288590694,Anthias asperilinguis,0.00955,0.007142857,2.97,0.107142857,15.6,320,11.7,46.72240659
29,Anthias asperilinguis,230,Roatan,shallow,1,m,1.589285714,1.589285714,Anthias asperilinguis,0.00955,0.007142857,2.97,0.107142857,15.6,320,11.7,22.57965805
30,Anthias asperilinguis,240,Curacao,deep,6,m,2.350351807,14.10211084,Anthias asperilinguis,0.00955,0.007142857,2.97,0.107142857,15.6,320,11.7,200.3546862
31,Anthias asperilinguis,250,Curacao,deep,2,m,3.051927409,6.103854818,Anthias asperilinguis,0.00955,0.007142857,2.97,0.107142857,15.6,320,11.7,86.72006131
32,Anthias asperilinguis,270,Curacao,deep,1,m,3.382094313,3.382094313,Anthias asperilinguis,0.00955,0.007142857,2.97,0.107142857,15.6,320,11.7,48.05085227
33,Anthias asperilinguis,280,Roatan,shallow,1,m,2.022727273,2.022727273,Anthias asperilinguis,0.00955,0.007142857,2.97,0.107142857,15.6,320,11.7,28.73774661
34,Anthias asperilinguis,290,Curacao,deep,2,m,4.077742475,8.15548495,Anthias asperilinguis,0.00955,0.007142857,2.97,0.107142857,15.6,320,11.7,115.8684431
35,Anthias asperilinguis,360,Roatan,shallow,1,m,8.090909091,8.090909091,Anthias asperilinguis,0.00955,0.007142857,2.97,0.107142857,15.6,320,11.7,114.9509864
36,Antigonia capros,150,Curacao,deep,1,m,1.188927353,1.188927353,Antigonia capros,0.02818,0.005423469,2.97,0.051020408,30.5,900,22.875,365.0890291
37,Antigonia capros,160,Curacao,deep,4,m,1.212877394,4.851509576,Antigonia capros,0.02818,0.005423469,2.97,0.051020408,30.5,900,22.875,1489.773884
38,Antigonia capros,170,Curacao,deep,4,m,1.172632844,4.690531376,Antigonia capros,0.02818,0.005423469,2.97,0.051020408,30.5,900,22.875,1440.341617
39,Antigonia capros,180,Curacao,deep,12,m,1.724533239,20.69439887,Antigonia capros,0.02818,0.005423469,2.97,0.051020408,30.5,900,22.875,6354.71795
40,Antigonia capros,190,Curacao,deep,2,m,1.643187332,3.286374664,Antigonia capros,0.02818,0.005423469,2.97,0.051020408,30.5,900,22.875,1009.161184
41,Antigonia capros,200,Curacao,deep,9,m,1.203301258,10.82971132,Antigonia capros,0.02818,0.005423469,2.97,0.051020408,30.5,900,22.875,3325.525973
42,Antigonia capros,210,Curacao,deep,11,m,1.454078712,15.99486583,Antigonia capros,0.02818,0.005423469,2.97,0.051020408,30.5,900,22.875,4911.612154
43,Antigonia capros,220,Curacao,deep,16,m,1.136560242,18.18496387,Antigonia capros,0.02818,0.005423469,2.97,0.051020408,30.5,900,22.875,5584.134967
44,Antigonia capros,220,St. Eustatius,deep,1,m,5.980952381,5.980952381,Antigonia capros,0.02818,0.005423469,2.97,0.051020408,30.5,900,22.875,1836.596738
45,Antigonia capros,230,Curacao,deep,9,m,1.644295347,14.79865812,Antigonia capros,0.02818,0.005423469,2.97,0.051020408,30.5,900,22.875,4544.287515
46,Antigonia capros,240,Curacao,deep,2,m,2.350351807,4.700703614,Antigonia capros,0.02818,0.005423469,2.97,0.051020408,30.5,900,22.875,1443.46525
47,Antigonia capros,250,Curacao,deep,3,m,3.051927409,9.155782227,Antigonia capros,0.02818,0.005423469,2.97,0.051020408,30.5,900,22.875,2811.505376
48,Antigonia capros,270,Curacao,deep,2,m,3.382094313,6.764188626,Antigonia capros,0.02818,0.005423469,2.97,0.051020408,30.5,900,22.875,2077.108456
49,Antigonia capros,280,Curacao,deep,2,m,3.295256757,6.590513514,Antigonia capros,0.02818,0.005423469,2.97,0.051020408,30.5,900,22.875,2023.777293
50,Antigonia capros,290,Curacao,deep,1,m,4.077742475,4.077742475,Antigonia capros,0.02818,0.005423469,2.97,0.051020408,30.5,900,22.875,1252.169897
51,Antilligobius nikkiae,60,Bonaire,deep,10,m,2.016114097,20.16114097,Antilligobius nikkiae,0.00603,0.003755102,3.09,0.091836735,2.67,90,2.0025,1.039181771
52,Antilligobius nikkiae,70,Bonaire,deep,1,m,2.085070543,2.085070543,Antilligobius nikkiae,0.00603,0.003755102,3.09,0.091836735,2.67,90,2.0025,0.107472454
53,Antilligobius nikkiae,70,Roatan,shallow,15,m,2.656716418,39.85074627,Antilligobius nikkiae,0.00603,0.003755102,3.09,0.091836735,2.67,90,2.0025,2.054058803
54,Antilligobius nikkiae,80,Bonaire,deep,21,m,1.181725224,24.8162297,Antilligobius nikkiae,0.00603,0.003755102,3.09,0.091836735,2.67,90,2.0025,1.279122723
55,Antilligobius nikkiae,80,Curacao,deep,4,m,1.181725224,4.726900896,Antilligobius nikkiae,0.00603,0.003755102,3.09,0.091836735,2.67,90,2.0025,0.243642423
56,Antilligobius nikkiae,80,Roatan,shallow,11,m,2.472222222,27.19444444,Antilligobius nikkiae,0.00603,0.003755102,3.09,0.091836735,2.67,90,2.0025,1.401704942
57,Antilligobius nikkiae,90,Bonaire,deep,101,m,1.187769118,119.9646809,Antilligobius nikkiae,0.00603,0.003755102,3.09,0.091836735,2.67,90,2.0025,6.183435242
58,Antilligobius nikkiae,90,Curacao,deep,65,m,1.187769118,77.20499267,Antilligobius nikkiae,0.00603,0.003755102,3.09,0.091836735,2.67,90,2.0025,3.979438522
59,Antilligobius nikkiae,90,Roatan,shallow,231,m,2.966666667,685.3000001,Antilligobius nikkiae,0.00603,0.003755102,3.09,0.091836735,2.67,90,2.0025,35.32296455
60,Antilligobius nikkiae,90,St. Eustatius,deep,9,m,1,9,Antilligobius nikkiae,0.00603,0.003755102,3.09,0.091836735,2.67,90,2.0025,0.463894179
61,Antilligobius nikkiae,100,Bonaire,deep,1,m,1.379236425,1.379236425,Antilligobius nikkiae,0.00603,0.003755102,3.09,0.091836735,2.67,90,2.0025,0.071091083
62,Antilligobius nikkiae,100,Curacao,deep,29,m,1.379236425,39.99785633,Antilligobius nikkiae,0.00603,0.003755102,3.09,0.091836735,2.67,90,2.0025,2.061641414
63,Antilligobius nikkiae,100,Roatan,shallow,9,m,1.483333333,13.35,Antilligobius nikkiae,0.00603,0.003755102,3.09,0.091836735,2.67,90,2.0025,0.688109699
64,Antilligobius nikkiae,100,St. Eustatius,deep,151,m,1.546301253,233.4914892,Antilligobius nikkiae,0.00603,0.003755102,3.09,0.091836735,2.67,90,2.0025,12.03503808
65,Antilligobius nikkiae,110,Bonaire,deep,100,m,1.161185714,116.1185714,Antilligobius nikkiae,0.00603,0.003755102,3.09,0.091836735,2.67,90,2.0025,5.985192151
66,Antilligobius nikkiae,110,Curacao,deep,134,m,1.161185714,155.5988857,Antilligobius nikkiae,0.00603,0.003755102,3.09,0.091836735,2.67,90,2.0025,8.020157482
67,Antilligobius nikkiae,110,Roatan,shallow,3,m,1.934782609,5.804347827,Antilligobius nikkiae,0.00603,0.003755102,3.09,0.091836735,2.67,90,2.0025,0.29917813
68,Antilligobius nikkiae,110,St. Eustatius,deep,357,m,1.300675371,464.3411074,Antilligobius nikkiae,0.00603,0.003755102,3.09,0.091836735,2.67,90,2.0025,23.9339041
69,Antilligobius nikkiae,120,Bonaire,deep,32,m,1.127104229,36.06733533,Antilligobius nikkiae,0.00603,0.003755102,3.09,0.091836735,2.67,90,2.0025,1.859047435
70,Antilligobius nikkiae,120,Curacao,deep,16,m,1.127104229,18.03366766,Antilligobius nikkiae,0.00603,0.003755102,3.09,0.091836735,2.67,90,2.0025,0.929523717
71,Antilligobius nikkiae,120,Roatan,shallow,15,m,2.170731707,32.56097561,Antilligobius nikkiae,0.00603,0.003755102,3.09,0.091836735,2.67,90,2.0025,1.678316339
72,Antilligobius nikkiae,120,St. Eustatius,deep,351,m,3.838426787,1347.287802,Antilligobius nikkiae,0.00603,0.003755102,3.09,0.091836735,2.67,90,2.0025,69.44432989
73,Antilligobius nikkiae,130,Bonaire,deep,12,m,1.303308391,15.63970069,Antilligobius nikkiae,0.00603,0.003755102,3.09,0.091836735,2.67,90,2.0025,0.806129568
74,Antilligobius nikkiae,130,Curacao,deep,4,m,1.303308391,5.213233564,Antilligobius nikkiae,0.00603,0.003755102,3.09,0.091836735,2.67,90,2.0025,0.268709856
75,Antilligobius nikkiae,130,Roatan,shallow,45,m,2.542857143,114.4285714,Antilligobius nikkiae,0.00603,0.003755102,3.09,0.091836735,2.67,90,2.0025,5.898083135
76,Antilligobius nikkiae,130,St. Eustatius,deep,160,m,3.42437174,547.8994784,Antilligobius nikkiae,0.00603,0.003755102,3.09,0.091836735,2.67,90,2.0025,28.24081986
77,Antilligobius nikkiae,140,Bonaire,deep,1,m,1.365335946,1.365335946,Antilligobius nikkiae,0.00603,0.003755102,3.09,0.091836735,2.67,90,2.0025,0.0703746
78,Antilligobius nikkiae,140,Curacao,deep,1,m,1.365335946,1.365335946,Antilligobius nikkiae,0.00603,0.003755102,3.09,0.091836735,2.67,90,2.0025,0.0703746
79,Antilligobius nikkiae,140,Roatan,shallow,129,m,1.893617021,244.2765957,Antilligobius nikkiae,0.00603,0.003755102,3.09,0.091836735,2.67,90,2.0025,12.59094343
80,Antilligobius nikkiae,140,St. Eustatius,deep,21,m,5.143874644,108.0213675,Antilligobius nikkiae,0.00603,0.003755102,3.09,0.091836735,2.67,90,2.0025,5.567831513
81,Antilligobius nikkiae,150,Roatan,shallow,1,m,2.022727273,2.022727273,Antilligobius nikkiae,0.00603,0.003755102,3.09,0.091836735,2.67,90,2.0025,0.104259045
82,Antilligobius nikkiae,150,St. Eustatius,deep,27,m,3.366899767,90.90629371,Antilligobius nikkiae,0.00603,0.003755102,3.09,0.091836735,2.67,90,2.0025,4.685655611
83,Antilligobius nikkiae,160,Roatan,shallow,5,m,1.618181818,8.09090909,Antilligobius nikkiae,0.00603,0.003755102,3.09,0.091836735,2.67,90,2.0025,0.417036181
84,Antilligobius nikkiae,170,Roatan,shallow,10,m,1.022988506,10.22988506,Antilligobius nikkiae,0.00603,0.003755102,3.09,0.091836735,2.67,90,2.0025,0.527287126
85,Antilligobius nikkiae,170,St. Eustatius,deep,64,m,3.76734481,241.1100678,Antilligobius nikkiae,0.00603,0.003755102,3.09,0.091836735,2.67,90,2.0025,12.42772856
86,Antilligobius nikkiae,180,Curacao,deep,1,m,1.724533239,1.724533239,Antilligobius nikkiae,0.00603,0.003755102,3.09,0.091836735,2.67,90,2.0025,0.088888992
87,Antilligobius nikkiae,180,Roatan,shallow,5,m,2.870967742,14.35483871,Antilligobius nikkiae,0.00603,0.003755102,3.09,0.091836735,2.67,90,2.0025,0.739902902
88,Antilligobius nikkiae,180,St. Eustatius,deep,36,m,4.174566474,150.2843931,Antilligobius nikkiae,0.00603,0.003755102,3.09,0.091836735,2.67,90,2.0025,7.74622835
89,Antilligobius nikkiae,200,Curacao,deep,1,m,1.203301258,1.203301258,Antilligobius nikkiae,0.00603,0.003755102,3.09,0.091836735,2.67,90,2.0025,0.062022717
90,Apogon gouldi,100,Curacao,deep,3,m,1.379236425,4.137709275,Apogon gouldi,0.00832,0.008928571,3.15,0.132653061,6.55,262,4.9125,5.181868334
91,Apogon gouldi,110,Bonaire,deep,1,m,1.161185714,1.161185714,Apogon gouldi,0.00832,0.008928571,3.15,0.132653061,6.55,262,4.9125,1.454213209
92,Apogon gouldi,110,Curacao,deep,3,m,1.161185714,3.483557142,Apogon gouldi,0.00832,0.008928571,3.15,0.132653061,6.55,262,4.9125,4.362639626
93,Apogon gouldi,120,Curacao,deep,2,m,1.127104229,2.254208458,Apogon gouldi,0.00832,0.008928571,3.15,0.132653061,6.55,262,4.9125,2.823062388
94,Apogon gouldi,130,Curacao,deep,3,m,1.303308391,3.909925173,Apogon gouldi,0.00832,0.008928571,3.15,0.132653061,6.55,262,4.9125,4.896602467
95,Apogon gouldi,140,Curacao,deep,5,m,1.365335946,6.82667973,Apogon gouldi,0.00832,0.008928571,3.15,0.132653061,6.55,262,4.9125,8.549405763
96,Apogon gouldi,150,Curacao,deep,2,m,1.188927353,2.377854706,Apogon gouldi,0.00832,0.008928571,3.15,0.132653061,6.55,262,4.9125,2.977911009
97,Apogon gouldi,150,Roatan,shallow,2,m,2.022727273,4.045454546,Apogon gouldi,0.00832,0.008928571,3.15,0.132653061,6.55,262,4.9125,5.066332943
98,Apogon lachneri,90,Roatan,shallow,1,m,2.966666667,2.966666667,Apogon lachneri,0.01023,0.006704082,3.11,0.091836735,6.5,70,4.875,4.185481763
99,Apogon maculatus,120,Bonaire,deep,1,m,1.127104229,1.127104229,Apogon maculatus,0.01,0.004153061,3.1,0.081632653,11.1,128,8.325,8.038133782
100,Apogon pillionatus,70,St. Eustatius,deep,2,m,5.971062422,11.94212484,Apogon pillionatus,0.00832,0.008928571,3.15,0.132653061,6.5,90,4.875,14.59906312
101,Apogon pseudomaculatus,70,Bonaire,deep,1,m,2.085070543,2.085070543,Apogon pseudomaculatus,0.01202,0.005147959,3.1,0.081632653,11,100,8.25,17.37930724
102,Apogon pseudomaculatus,110,Bonaire,deep,1,m,1.161185714,1.161185714,Apogon pseudomaculatus,0.01202,0.005147959,3.1,0.081632653,11,100,8.25,9.678618958
103,Apogon pseudomaculatus,130,Bonaire,deep,4,m,1.303308391,5.213233564,Apogon pseudomaculatus,0.01202,0.005147959,3.1,0.081632653,11,100,8.25,43.45291248
104,Apsilus dentatus,90,Roatan,shallow,1,m,2.966666667,2.966666667,Apsilus dentatus,0.01175,0.005535714,3,0.091836735,65,300,48.75,4038.596631
105,Aulopus filamentosus,280,Roatan,shallow,1,m,2.022727273,2.022727273,Aulopus filamentosus,0.0055,0.002443878,3.12,0.091836735,44,1000,33,608.2239427
106,Aulopus filamentosus,360,Roatan,shallow,1,m,8.090909091,8.090909091,Aulopus filamentosus,0.0055,0.002443878,3.12,0.091836735,44,1000,33,2432.895771
107,Aulostomus maculatus,20,Roatan,shallow,1,m,1.934782609,1.934782609,Aulostomus maculatus,0.002,0.001413265,3.2,0.107142857,100,25,75,3871.312355
108,Baldwinella vivanus,120,Curacao,deep,2,m,1.127104229,2.254208458,Baldwinella vivanus,0.00955,0.007142857,2.97,0.107142857,25,610,18.75,129.9604554
109,Baldwinella vivanus,120,St. Eustatius,deep,1,m,3.838426787,3.838426787,Baldwinella vivanus,0.00955,0.007142857,2.97,0.107142857,25,610,18.75,221.2943934
110,Baldwinella vivanus,140,Curacao,deep,11,m,1.365335946,15.01869541,Baldwinella vivanus,0.00955,0.007142857,2.97,0.107142857,25,610,18.75,865.8633534
111,Baldwinella vivanus,150,Bonaire,deep,7,m,1.188927353,8.322491471,Baldwinella vivanus,0.00955,0.007142857,2.97,0.107142857,25,610,18.75,479.8113404
112,Baldwinella vivanus,150,Curacao,deep,4,m,1.188927353,4.755709412,Baldwinella vivanus,0.00955,0.007142857,2.97,0.107142857,25,610,18.75,274.1779088
113,Baldwinella vivanus,160,Curacao,deep,7,m,1.212877394,8.490141758,Baldwinella vivanus,0.00955,0.007142857,2.97,0.107142857,25,610,18.75,489.4767764
114,Baldwinella vivanus,170,Bonaire,deep,2,m,1.172632844,2.345265688,Baldwinella vivanus,0.00955,0.007142857,2.97,0.107142857,25,610,18.75,135.2101203
115,Baldwinella vivanus,170,Curacao,deep,3,m,1.172632844,3.517898532,Baldwinella vivanus,0.00955,0.007142857,2.97,0.107142857,25,610,18.75,202.8151805
116,Baldwinella vivanus,180,Bonaire,deep,2,m,1.724533239,3.449066478,Baldwinella vivanus,0.00955,0.007142857,2.97,0.107142857,25,610,18.75,198.8468496
117,Baldwinella vivanus,180,Curacao,deep,7,m,1.724533239,12.07173267,Baldwinella vivanus,0.00955,0.007142857,2.97,0.107142857,25,610,18.75,695.9639737
118,Baldwinella vivanus,190,Curacao,deep,12,m,1.643187332,19.71824798,Baldwinella vivanus,0.00955,0.007142857,2.97,0.107142857,25,610,18.75,1136.803688
119,Baldwinella vivanus,200,Curacao,deep,4,m,1.203301258,4.813205032,Baldwinella vivanus,0.00955,0.007142857,2.97,0.107142857,25,610,18.75,277.4926674
120,Baldwinella vivanus,210,Curacao,deep,3,m,1.454078712,4.362236136,Baldwinella vivanus,0.00955,0.007142857,2.97,0.107142857,25,610,18.75,251.4932427
121,Baldwinella vivanus,220,Curacao,deep,3,m,1.136560242,3.409680726,Baldwinella vivanus,0.00955,0.007142857,2.97,0.107142857,25,610,18.75,196.5761678
122,Baldwinella vivanus,230,Curacao,deep,1,m,1.644295347,1.644295347,Baldwinella vivanus,0.00955,0.007142857,2.97,0.107142857,25,610,18.75,94.79752034
123,Baldwinella vivanus,230,St. Eustatius,deep,1,m,2.26572549,2.26572549,Baldwinella vivanus,0.00955,0.007142857,2.97,0.107142857,25,610,18.75,130.6244396
124,Bathyanthias sp.,210,Bonaire,deep,3,m,1.454078712,4.362236136,Bathyanthias mexicanus,0.01122,0.00677551,3.04,0.086734694,15,135,11.25,76.77250232
125,Bathyanthias sp.,270,St. Eustatius,deep,1,m,18.23737374,18.23737374,Bathyanthias mexicanus,0.01122,0.00677551,3.04,0.086734694,15,135,11.25,320.9658474
126,Bellator brachychir,170,Bonaire,deep,2,m,1.172632844,2.345265688,Bellator brachychir,0.00977,0.003938776,2.97,0.081632653,10,200,7.5,9.099521715
127,Bellator brachychir,190,Curacao,deep,5,m,1.643187332,8.21593666,Bellator brachychir,0.00977,0.003938776,2.97,0.081632653,10,200,7.5,31.87745185
128,Bellator brachychir,210,Bonaire,deep,1,m,1.454078712,1.454078712,Bellator brachychir,0.00977,0.003938776,2.97,0.081632653,10,200,7.5,5.641757726
129,Bellator brachychir,220,Curacao,deep,1,m,1.136560242,1.136560242,Bellator brachychir,0.00977,0.003938776,2.97,0.081632653,10,200,7.5,4.409800841
130,Bellator brachychir,230,Curacao,deep,1,m,1.644295347,1.644295347,Bellator brachychir,0.00977,0.003938776,2.97,0.081632653,10,200,7.5,6.379789417
131,Bellator brachychir,240,Curacao,deep,3,m,2.350351807,7.051055421,Bellator brachychir,0.00977,0.003938776,2.97,0.081632653,10,200,7.5,27.35776686
132,Bellator egretta,160,Bonaire,deep,1,m,1.212877394,1.212877394,Bellator egretta,0.00389,0.002311224,3.12,0.091836735,20,NA,15,22.03795192
133,Bellator egretta,170,Bonaire,deep,1,m,1.172632844,1.172632844,Bellator egretta,0.00389,0.002311224,3.12,0.091836735,20,NA,15,21.30670945
134,Bellator egretta,170,Curacao,deep,1,m,1.172632844,1.172632844,Bellator egretta,0.00389,0.002311224,3.12,0.091836735,20,NA,15,21.30670945
135,Bellator egretta,180,Bonaire,deep,4,m,1.724533239,6.898132956,Bellator egretta,0.00389,0.002311224,3.12,0.091836735,20,NA,15,125.3389033
136,Bellator egretta,180,Curacao,deep,2,m,1.724533239,3.449066478,Bellator egretta,0.00389,0.002311224,3.12,0.091836735,20,NA,15,62.66945165
137,Bellator egretta,190,Curacao,deep,1,m,1.643187332,1.643187332,Bellator egretta,0.00389,0.002311224,3.12,0.091836735,20,NA,15,29.85667273
138,Bellator egretta,210,Bonaire,deep,1,m,1.454078712,1.454078712,Bellator egretta,0.00389,0.002311224,3.12,0.091836735,20,NA,15,26.42057383
139,Bellator egretta,210,Curacao,deep,1,m,1.454078712,1.454078712,Bellator egretta,0.00389,0.002311224,3.12,0.091836735,20,NA,15,26.42057383
140,Bellator egretta,220,Curacao,deep,1,m,1.136560242,1.136560242,Bellator egretta,0.00389,0.002311224,3.12,0.091836735,20,NA,15,20.65127117
141,Bellator egretta,220,St. Eustatius,deep,1,m,5.980952381,5.980952381,Bellator egretta,0.00389,0.002311224,3.12,0.091836735,20,NA,15,108.6737552
142,Bellator egretta,230,Bonaire,deep,1,m,1.644295347,1.644295347,Bellator egretta,0.00389,0.002311224,3.12,0.091836735,20,NA,15,29.87680533
143,Bellator egretta,230,Curacao,deep,1,m,1.644295347,1.644295347,Bellator egretta,0.00389,0.002311224,3.12,0.091836735,20,NA,15,29.87680533
144,Bembrops sp.,160,Roatan,shallow,1,m,1.618181818,1.618181818,Bembrops gobioides,0.00389,0.002954082,3.08,0.107142857,30,724,22.5,91.98120065
145,Bembrops sp.,180,Roatan,shallow,1,m,2.870967742,2.870967742,Bembrops gobioides,0.00389,0.002954082,3.08,0.107142857,30,724,22.5,163.1924528
146,Bembrops sp.,210,Roatan,shallow,4,m,2.119047619,8.476190476,Bembrops gobioides,0.00389,0.002954082,3.08,0.107142857,30,724,22.5,481.8062892
147,Bembrops sp.,230,Roatan,shallow,1,m,1.589285714,1.589285714,Bembrops gobioides,0.00389,0.002954082,3.08,0.107142857,30,724,22.5,90.3386792
148,Bembrops sp.,240,Roatan,shallow,2,m,1.711538462,3.423076924,Bembrops gobioides,0.00389,0.002954082,3.08,0.107142857,30,724,22.5,194.5756168
149,Bodianus pulchellus,70,Roatan,shallow,1,m,2.656716418,2.656716418,Bodianus pulchellus,0.0123,0.004561224,3.06,0.076530612,28.5,120,21.375,383.4979517
150,Bodianus pulchellus,90,Roatan,shallow,4,m,2.966666667,11.86666667,Bodianus pulchellus,0.0123,0.004561224,3.06,0.076530612,28.5,120,21.375,1712.957518
151,Bodianus rufus,10,Roatan,shallow,3,m,2.225,6.675,Bodianus rufus,0.01202,0.00455102,3.06,0.076530612,40,70,30,2656.726068
152,Bodianus rufus,20,Roatan,shallow,1,m,1.934782609,1.934782609,Bodianus rufus,0.01202,0.00455102,3.06,0.076530612,40,70,30,770.0655271
153,Bodianus rufus,30,Roatan,shallow,1,m,1.034883721,1.034883721,Bodianus rufus,0.01202,0.00455102,3.06,0.076530612,40,70,30,411.8955145
154,Bodianus rufus,40,Roatan,shallow,2,m,1.1125,2.225,Bodianus rufus,0.01202,0.00455102,3.06,0.076530612,40,70,30,885.5753561
155,Bodianus rufus,40,St. Eustatius,deep,1,m,10.87650602,10.87650602,Bodianus rufus,0.01202,0.00455102,3.06,0.076530612,40,70,30,4328.973344
156,Bodianus rufus,50,Bonaire,deep,3,m,0.999995899,2.999987697,Bodianus rufus,0.01202,0.00455102,3.06,0.076530612,40,70,30,1194.029291
157,Bodianus rufus,50,Roatan,shallow,3,m,1.390625,4.171875,Bodianus rufus,0.01202,0.00455102,3.06,0.076530612,40,70,30,1660.453793
158,Bodianus rufus,60,Bonaire,deep,1,m,2.016114097,2.016114097,Bodianus rufus,0.01202,0.00455102,3.06,0.076530612,40,70,30,802.4363862
159,Bodianus rufus,90,Roatan,shallow,1,m,2.966666667,2.966666667,Bodianus rufus,0.01202,0.00455102,3.06,0.076530612,40,70,30,1180.767142
160,Bollmannia boqueronensis,70,Bonaire,deep,30,m,2.085070543,62.55211629,Bollmannia boqueronensis,0.00603,0.003755102,3.09,0.091836735,10,73,7.5,190.7649678
161,Bollmannia boqueronensis,80,Bonaire,deep,1,m,1.181725224,1.181725224,Bollmannia boqueronensis,0.00603,0.003755102,3.09,0.091836735,10,73,7.5,3.603903235
