,species,dband,location,hab,abundance,m,COEF,X,abu.corr,species.fb
51,Antigonia capros,230,Curacao,deep,9,m,1.644295347,NA,14.79865812,Antigonia capros
52,Antigonia capros,240,Curacao,deep,2,m,2.350351807,NA,4.700703614,Antigonia capros
53,Antigonia capros,250,Curacao,deep,3,m,3.051927409,NA,9.155782227,Antigonia capros
54,Antigonia capros,270,Curacao,deep,2,m,3.382094313,NA,6.764188626,Antigonia capros
55,Antigonia capros,280,Curacao,deep,2,m,3.295256757,NA,6.590513514,Antigonia capros
56,Antigonia capros,290,Curacao,deep,1,m,4.077742475,NA,4.077742475,Antigonia capros
57,Antilligobius nikkiae,60,Bonaire,deep,10,m,2.016114097,NA,20.16114097,Antilligobius nikkiae
58,Antilligobius nikkiae,70,Bonaire,deep,1,m,2.085070543,NA,2.085070543,Antilligobius nikkiae
996,Haemulon flavolineatum,10,Roatan,shallow,4,m,2.225,10,8.9,Haemulon flavolineatum
1098,Holacanthus ciliaris,10,Roatan,shallow,4,m,2.225,10,8.9,Holacanthus ciliaris
61,Antilligobius nikkiae,80,Bonaire,deep,21,m,1.181725224,NA,24.8162297,Antilligobius nikkiae
62,Antilligobius nikkiae,80,Curacao,deep,4,m,1.181725224,NA,4.726900896,Antilligobius nikkiae
1452,Melichthys niger,10,Roatan,shallow,4,m,2.225,10,8.9,Melichthys niger
2125,Sparisoma chrysopterum,10,Roatan,shallow,4,m,2.225,10,8.9,Sparisoma chrysopterum
65,Antilligobius nikkiae,90,Bonaire,deep,101,m,1.187769118,NA,119.9646809,Antilligobius nikkiae
66,Antilligobius nikkiae,90,Curacao,deep,65,m,1.187769118,NA,77.20499267,Antilligobius nikkiae
181,Bodianus rufus,10,Roatan,shallow,3,m,2.225,10,6.675,Bodianus rufus
477,Chaunax pictus,10,Roatan,shallow,3,m,2.225,10,6.675,Chaunax pictus
69,Antilligobius nikkiae,90,St. Eustatius,deep,9,m,1,NA,9,Antilligobius nikkiae
70,Antilligobius nikkiae,100,Bonaire,deep,1,m,1.379236425,NA,1.379236425,Antilligobius nikkiae
71,Antilligobius nikkiae,100,Curacao,deep,29,m,1.379236425,NA,39.99785633,Antilligobius nikkiae
1179,Hypoplectrus indigo,10,Roatan,shallow,3,m,2.225,10,6.675,Hypoplectrus indigo
26,Anisotremus virginicus,10,Roatan,shallow,2,m,2.225,10,4.45,Anisotremus virginicus
74,Antilligobius nikkiae,100,St. Eustatius,deep,151,m,1.546301253,NA,233.4914892,Antilligobius nikkiae
75,Antilligobius nikkiae,110,Bonaire,deep,100,m,1.161185714,NA,116.1185714,Antilligobius nikkiae
76,Antilligobius nikkiae,110,Curacao,deep,134,m,1.161185714,NA,155.5988857,Antilligobius nikkiae
383,Cephalopholis cruentata,10,Roatan,shallow,2,m,2.225,10,4.45,Cephalopholis cruentata
466,Chaetodon striatus,10,Roatan,shallow,2,m,2.225,10,4.45,Chaetodon striatus
79,Antilligobius nikkiae,110,St. Eustatius,deep,357,m,1.300675371,NA,464.3411074,Antilligobius nikkiae
80,Antilligobius nikkiae,120,Bonaire,deep,32,m,1.127104229,NA,36.06733533,Antilligobius nikkiae
81,Antilligobius nikkiae,120,Curacao,deep,16,m,1.127104229,NA,18.03366766,Antilligobius nikkiae
1082,Halichoeres pictus,10,Roatan,shallow,2,m,2.225,10,4.45,Halichoeres pictus
1181,Hypoplectrus nigricans,10,Roatan,shallow,2,m,2.225,10,4.45,Hypoplectrus nigricans
84,Antilligobius nikkiae,120,St. Eustatius,deep,351,m,3.838426787,NA,1347.287802,Antilligobius nikkiae
85,Antilligobius nikkiae,130,Bonaire,deep,12,m,1.303308391,NA,15.63970069,Antilligobius nikkiae
86,Antilligobius nikkiae,130,Curacao,deep,4,m,1.303308391,NA,5.213233564,Antilligobius nikkiae
2177,Stegastes variabilis,10,Roatan,shallow,2,m,2.225,10,4.45,Stegastes variabilis
219,Calamus calamus,10,Roatan,shallow,1,m,2.225,10,2.225,Calamus calamus
89,Antilligobius nikkiae,130,St. Eustatius,deep,160,m,3.42437174,NA,547.8994784,Antilligobius nikkiae
90,Antilligobius nikkiae,140,Bonaire,deep,1,m,1.365335946,NA,1.365335946,Antilligobius nikkiae
91,Antilligobius nikkiae,140,Curacao,deep,1,m,1.365335946,NA,1.365335946,Antilligobius nikkiae
221,Canthidermis sufflamen,10,Roatan,shallow,1,m,2.225,10,2.225,Canthidermis sufflamen
793,Elacatinus lobeli,10,Roatan,shallow,1,m,2.225,10,2.225,Elacatinus lobeli
94,Antilligobius nikkiae,140,St. Eustatius,deep,21,m,5.143874644,NA,108.0213675,Antilligobius nikkiae
1013,Haemulon plumierii,10,Roatan,shallow,1,m,2.225,10,2.225,Haemulon plumierii
1078,Halichoeres maculipinna,10,Roatan,shallow,1,m,2.225,10,2.225,Halichoeres maculipinna
97,Antilligobius nikkiae,150,St. Eustatius,deep,27,m,3.366899767,NA,90.90629371,Antilligobius nikkiae
1223,Lactophrys triqueter,10,Roatan,shallow,1,m,2.225,10,2.225,Lactophrys triqueter
2106,Sparisoma atomarium,10,Roatan,shallow,1,m,2.225,10,2.225,Sparisoma atomarium
2126,Sparisoma rubripinne,10,Roatan,shallow,1,m,2.225,10,2.225,Sparisoma rubripinne
2180,Stegastes viride,10,Roatan,shallow,1,m,2.225,10,2.225,Sparisoma viride
102,Antilligobius nikkiae,170,St. Eustatius,deep,64,m,3.76734481,NA,241.1100678,Antilligobius nikkiae
103,Antilligobius nikkiae,180,Curacao,deep,1,m,1.724533239,NA,1.724533239,Antilligobius nikkiae
696,Clepticus parrae,20,Roatan,shallow,514,m,1.934782609,20,994.478261,Clepticus parrae
259,Canthigaster rostrata,20,Roatan,shallow,507,m,1.934782609,20,980.9347828,Canthigaster rostrata
106,Antilligobius nikkiae,180,St. Eustatius,deep,36,m,4.174566474,NA,150.2843931,Antilligobius nikkiae
107,Antilligobius nikkiae,200,Curacao,deep,1,m,1.203301258,NA,1.203301258,Antilligobius nikkiae
108,Apogon gouldi,100,Curacao,deep,3,m,1.379236425,NA,4.137709275,Apogon gouldi
109,Apogon gouldi,110,Bonaire,deep,1,m,1.161185714,NA,1.161185714,Apogon gouldi
110,Apogon gouldi,110,Curacao,deep,3,m,1.161185714,NA,3.483557142,Apogon gouldi
111,Apogon gouldi,120,Curacao,deep,2,m,1.127104229,NA,2.254208458,Apogon gouldi
112,Apogon gouldi,130,Curacao,deep,3,m,1.303308391,NA,3.909925173,Apogon gouldi
113,Apogon gouldi,140,Curacao,deep,5,m,1.365335946,NA,6.82667973,Apogon gouldi
114,Apogon gouldi,150,Curacao,deep,2,m,1.188927353,NA,2.377854706,Apogon gouldi
606,Chromis insolata,20,Roatan,shallow,469,m,1.934782609,20,907.4130436,Chromis insolata
548,Chromis cyanea,20,Roatan,shallow,86,m,1.934782609,20,166.3913044,Chromis cyanea
742,Coryphopterus personatus,20,Roatan,shallow,72,m,1.934782609,20,139.3043478,Coryphopterus personatus
427,Chaetodon capistratus,20,Roatan,shallow,41,m,1.934782609,20,79.32608697,Chaetodon capistratus
119,Apogon maculatus,120,Bonaire,deep,1,m,1.127104229,NA,1.127104229,Apogon maculatus
120,Apogon pillionatus,70,St. Eustatius,deep,2,m,5.971062422,NA,11.94212484,Apogon pillionatus
121,Apogon pseudomaculatus,70,Bonaire,deep,1,m,2.085070543,NA,2.085070543,Apogon pseudomaculatus
122,Apogon pseudomaculatus,110,Bonaire,deep,1,m,1.161185714,NA,1.161185714,Apogon pseudomaculatus
123,Apogon pseudomaculatus,130,Bonaire,deep,4,m,1.303308391,NA,5.213233564,Apogon pseudomaculatus
1956,Scarus taeniopterus,20,Roatan,shallow,40,m,1.934782609,20,77.39130436,Scarus taeniopterus
955,Gramma loreto,20,Roatan,shallow,36,m,1.934782609,20,69.65217392,Gramma loreto
2158,Stegastes partitus,20,Roatan,shallow,36,m,1.934782609,20,69.65217392,Stegastes partitus
1052,Halichoeres garnoti,20,Roatan,shallow,23,m,1.934782609,20,44.50000001,Halichoeres garnoti
2,Abudefduf saxatilis,20,Roatan,shallow,18,m,1.934782609,20,34.82608696,Abudefduf saxatilis
1951,Scarus iseri,20,Roatan,shallow,15,m,1.934782609,20,29.02173914,Scarus iseri
2178,Stegastes variabilis,20,Roatan,shallow,15,m,1.934782609,20,29.02173914,Stegastes variabilis
131,Baldwinella vivanus,120,Curacao,deep,2,m,1.127104229,NA,2.254208458,Baldwinella vivanus
132,Baldwinella vivanus,120,St. Eustatius,deep,1,m,3.838426787,NA,3.838426787,Baldwinella vivanus
133,Baldwinella vivanus,140,Curacao,deep,11,m,1.365335946,NA,15.01869541,Baldwinella vivanus
134,Baldwinella vivanus,150,Bonaire,deep,7,m,1.188927353,NA,8.322491471,Baldwinella vivanus
135,Baldwinella vivanus,150,Curacao,deep,4,m,1.188927353,NA,4.755709412,Baldwinella vivanus
136,Baldwinella vivanus,160,Curacao,deep,7,m,1.212877394,NA,8.490141758,Baldwinella vivanus
137,Baldwinella vivanus,170,Bonaire,deep,2,m,1.172632844,NA,2.345265688,Baldwinella vivanus
138,Baldwinella vivanus,170,Curacao,deep,3,m,1.172632844,NA,3.517898532,Baldwinella vivanus
139,Baldwinella vivanus,180,Bonaire,deep,2,m,1.724533239,NA,3.449066478,Baldwinella vivanus
140,Baldwinella vivanus,180,Curacao,deep,7,m,1.724533239,NA,12.07173267,Baldwinella vivanus
141,Baldwinella vivanus,190,Curacao,deep,12,m,1.643187332,NA,19.71824798,Baldwinella vivanus
142,Baldwinella vivanus,200,Curacao,deep,4,m,1.203301258,NA,4.813205032,Baldwinella vivanus
143,Baldwinella vivanus,210,Curacao,deep,3,m,1.454078712,NA,4.362236136,Baldwinella vivanus
144,Baldwinella vivanus,220,Curacao,deep,3,m,1.136560242,NA,3.409680726,Baldwinella vivanus
145,Baldwinella vivanus,230,Curacao,deep,1,m,1.644295347,NA,1.644295347,Baldwinella vivanus
146,Baldwinella vivanus,230,St. Eustatius,deep,1,m,2.26572549,NA,2.26572549,Baldwinella vivanus
147,Bathyanthias sp.,210,Bonaire,deep,3,m,1.454078712,NA,4.362236136,Bathyanthias mexicanus
148,Bathyanthias sp.,270,St. Eustatius,deep,1,m,18.23737374,NA,18.23737374,Bathyanthias mexicanus
149,Bellator brachychir,170,Bonaire,deep,2,m,1.172632844,NA,2.345265688,Bellator brachychir
150,Bellator brachychir,190,Curacao,deep,5,m,1.643187332,NA,8.21593666,Bellator brachychir
151,Bellator brachychir,210,Bonaire,deep,1,m,1.454078712,NA,1.454078712,Bellator brachychir
152,Bellator brachychir,220,Curacao,deep,1,m,1.136560242,NA,1.136560242,Bellator brachychir
153,Bellator brachychir,230,Curacao,deep,1,m,1.644295347,NA,1.644295347,Bellator brachychir
154,Bellator brachychir,240,Curacao,deep,3,m,2.350351807,NA,7.051055421,Bellator brachychir
155,Bellator egretta,160,Bonaire,deep,1,m,1.212877394,NA,1.212877394,Bellator egretta
156,Bellator egretta,170,Bonaire,deep,1,m,1.172632844,NA,1.172632844,Bellator egretta
157,Bellator egretta,170,Curacao,deep,1,m,1.172632844,NA,1.172632844,Bellator egretta
158,Bellator egretta,180,Bonaire,deep,4,m,1.724533239,NA,6.898132956,Bellator egretta
159,Bellator egretta,180,Curacao,deep,2,m,1.724533239,NA,3.449066478,Bellator egretta
160,Bellator egretta,190,Curacao,deep,1,m,1.643187332,NA,1.643187332,Bellator egretta
161,Bellator egretta,210,Bonaire,deep,1,m,1.454078712,NA,1.454078712,Bellator egretta
162,Bellator egretta,210,Curacao,deep,1,m,1.454078712,NA,1.454078712,Bellator egretta
163,Bellator egretta,220,Curacao,deep,1,m,1.136560242,NA,1.136560242,Bellator egretta
164,Bellator egretta,220,St. Eustatius,deep,1,m,5.980952381,NA,5.980952381,Bellator egretta
165,Bellator egretta,230,Bonaire,deep,1,m,1.644295347,NA,1.644295347,Bellator egretta
166,Bellator egretta,230,Curacao,deep,1,m,1.644295347,NA,1.644295347,Bellator egretta
298,Carangoides ruber,20,Roatan,shallow,12,m,1.934782609,20,23.21739131,Caranx ruber
2176,Stegastes planifrons,20,Roatan,shallow,9,m,1.934782609,20,17.41304348,Stegastes planifrons
2113,Sparisoma aurofrenatum,20,Roatan,shallow,6,m,1.934782609,20,11.60869565,Sparisoma aurofrenatum
2128,Sparisoma viride,20,Roatan,shallow,6,m,1.934782609,20,11.60869565,Sparisoma viride
13,Acanthurus coeruleus,20,Roatan,shallow,4,m,1.934782609,20,7.739130436,Acanthurus coeruleus
227,Canthigaster jamestyleri,20,Roatan,shallow,4,m,1.934782609,20,7.739130436,Canthigaster jamestyleri
384,Cephalopholis cruentata,20,Roatan,shallow,4,m,1.934782609,20,7.739130436,Cephalopholis cruentata
965,Gramma melacara,20,Roatan,shallow,4,m,1.934782609,20,7.739130436,Gramma melacara
9,Acanthurus chirurgus,20,Roatan,shallow,3,m,1.934782609,20,5.804347827,Acanthurus chirurgus
220,Cantherhines sp.,20,Roatan,shallow,2,m,1.934782609,20,3.869565218,Cantherhines pullus
222,Canthidermis sufflamen,20,Roatan,shallow,2,m,1.934782609,20,3.869565218,Canthidermis sufflamen
467,Chaetodon striatus,20,Roatan,shallow,2,m,1.934782609,20,3.869565218,Chaetodon striatus
997,Haemulon flavolineatum,20,Roatan,shallow,2,m,1.934782609,20,3.869565218,Haemulon flavolineatum
1099,Holacanthus ciliaris,20,Roatan,shallow,2,m,1.934782609,20,3.869565218,Holacanthus ciliaris
2273,Thalassoma bifasciatum,20,Roatan,shallow,2,m,1.934782609,20,3.869565218,Thalassoma bifasciatum
27,Anisotremus virginicus,20,Roatan,shallow,1,m,1.934782609,20,1.934782609,Anisotremus virginicus
130,Aulostomus maculatus,20,Roatan,shallow,1,m,1.934782609,20,1.934782609,Aulostomus maculatus
182,Bodianus rufus,20,Roatan,shallow,1,m,1.934782609,20,1.934782609,Bodianus rufus
316,Caranx latus,20,Roatan,shallow,1,m,1.934782609,20,1.934782609,Caranx latus
186,Bodianus rufus,40,St. Eustatius,deep,1,m,10.87650602,NA,10.87650602,Bodianus rufus
187,Bodianus rufus,50,Bonaire,deep,3,m,0.999995899,NA,2.999987697,Bodianus rufus
1019,Haemulon sciurus,20,Roatan,shallow,1,m,1.934782609,20,1.934782609,Haemulon sciurus
1079,Halichoeres maculipinna,20,Roatan,shallow,1,m,1.934782609,20,1.934782609,Halichoeres maculipinna
190,Bodianus rufus,60,Bonaire,deep,1,m,2.016114097,NA,2.016114097,Bodianus rufus
1182,Hypoplectrus nigricans,20,Roatan,shallow,1,m,1.934782609,20,1.934782609,Hypoplectrus nigricans
1185,Hypoplectrus puella,20,Roatan,shallow,1,m,1.934782609,20,1.934782609,Hypoplectrus puella
193,Bollmannia boqueronensis,70,Bonaire,deep,30,m,2.085070543,NA,62.55211629,Bollmannia boqueronensis
194,Bollmannia boqueronensis,80,Bonaire,deep,1,m,1.181725224,NA,1.181725224,Bollmannia boqueronensis
195,Bollmannia boqueronensis,100,Bonaire,deep,2,m,1.379236425,NA,2.75847285,Bollmannia boqueronensis
196,Bollmannia boqueronensis,110,Bonaire,deep,2,m,1.161185714,NA,2.322371428,Bollmannia boqueronensis
197,Bollmannia eigenmanni,80,Bonaire,deep,1,m,1.181725224,NA,1.181725224,Bollmannia eigenmanni
198,Brotula barbata,220,St. Eustatius,deep,1,m,5.980952381,NA,5.980952381,Brotula barbata
199,Bullisichthys caribbaeus,80,Bonaire,deep,2,m,1.181725224,NA,2.363450448,Bullisichthys caribbaeus
200,Bullisichthys caribbaeus,80,Curacao,deep,30,m,1.181725224,NA,35.45175672,Bullisichthys caribbaeus
201,Bullisichthys caribbaeus,80,St. Eustatius,deep,301,m,3.768327681,NA,1134.266632,Bullisichthys caribbaeus
202,Bullisichthys caribbaeus,90,Curacao,deep,33,m,1.187769118,NA,39.19638089,Bullisichthys caribbaeus
203,Bullisichthys caribbaeus,100,Curacao,deep,59,m,1.379236425,NA,81.37494908,Bullisichthys caribbaeus
204,Bullisichthys caribbaeus,100,St. Eustatius,deep,40,m,1.546301253,NA,61.85205012,Bullisichthys caribbaeus
205,Bullisichthys caribbaeus,110,Curacao,deep,106,m,1.161185714,NA,123.0856857,Bullisichthys caribbaeus
206,Bullisichthys caribbaeus,110,St. Eustatius,deep,524,m,1.300675371,NA,681.5538944,Bullisichthys caribbaeus
207,Bullisichthys caribbaeus,120,Curacao,deep,4,m,1.127104229,NA,4.508416916,Bullisichthys caribbaeus
1781,Prognathodes aculeatus,20,Roatan,shallow,1,m,1.934782609,20,1.934782609,Prognathodes aculeatus
1978,Scarus vetula,20,Roatan,shallow,1,m,1.934782609,20,1.934782609,Scarus vetula
210,Bullisichthys caribbaeus,120,St. Eustatius,deep,239,m,3.838426787,NA,917.3840021,Bullisichthys caribbaeus
211,Bullisichthys caribbaeus,130,Curacao,deep,30,m,1.303308391,NA,39.09925173,Bullisichthys caribbaeus
2107,Sparisoma atomarium,20,Roatan,shallow,1,m,1.934782609,20,1.934782609,Sparisoma atomarium
260,Canthigaster rostrata,30,Roatan,shallow,661,m,1.034883721,30,684.0581396,Canthigaster rostrata
214,Bullisichthys caribbaeus,130,St. Eustatius,deep,21,m,3.42437174,NA,71.91180654,Bullisichthys caribbaeus
607,Chromis insolata,30,Roatan,shallow,389,m,1.034883721,30,402.5697675,Chromis insolata
743,Coryphopterus personatus,30,Roatan,shallow,289,m,1.034883721,30,299.0813954,Coryphopterus personatus
217,Bullisichthys caribbaeus,150,St. Eustatius,deep,1,m,3.366899767,NA,3.366899767,Bullisichthys caribbaeus
218,Bullisichthys caribbaeus,160,St. Eustatius,deep,21,m,4.342754059,NA,91.19783524,Bullisichthys caribbaeus
697,Clepticus parrae,30,Roatan,shallow,269,m,1.034883721,30,278.3837209,Clepticus parrae
549,Chromis cyanea,30,Roatan,shallow,59,m,1.034883721,30,61.05813954,Chromis cyanea
966,Gramma melacara,30,Roatan,shallow,42,m,1.034883721,30,43.46511628,Gramma melacara
428,Chaetodon capistratus,30,Roatan,shallow,27,m,1.034883721,30,27.94186047,Chaetodon capistratus
1957,Scarus taeniopterus,30,Roatan,shallow,20,m,1.034883721,30,20.69767442,Scarus taeniopterus
224,Canthidermis sufflamen,40,St. Eustatius,deep,3,m,10.87650602,NA,32.62951806,Canthidermis sufflamen
225,Canthidermis sufflamen,50,St. Eustatius,deep,1,m,15.20421053,NA,15.20421053,Canthidermis sufflamen
226,Canthidermis sufflamen,90,St. Eustatius,deep,1,m,1,NA,1,Canthidermis sufflamen
1053,Halichoeres garnoti,30,Roatan,shallow,15,m,1.034883721,30,15.52325582,Halichoeres garnoti
956,Gramma loreto,30,Roatan,shallow,13,m,1.034883721,30,13.45348837,Gramma loreto
1952,Scarus iseri,30,Roatan,shallow,9,m,1.034883721,30,9.313953489,Scarus iseri
2114,Sparisoma aurofrenatum,30,Roatan,shallow,9,m,1.034883721,30,9.313953489,Sparisoma aurofrenatum
2159,Stegastes partitus,30,Roatan,shallow,9,m,1.034883721,30,9.313953489,Stegastes partitus
232,Canthigaster jamestyleri,70,Curacao,deep,64,m,2.085070543,NA,133.4445148,Canthigaster jamestyleri
1100,Holacanthus ciliaris,30,Roatan,shallow,7,m,1.034883721,30,7.244186047,Holacanthus ciliaris
2179,Stegastes variabilis,30,Roatan,shallow,7,m,1.034883721,30,7.244186047,Stegastes variabilis
235,Canthigaster jamestyleri,80,Curacao,deep,2,m,1.181725224,NA,2.363450448,Canthigaster jamestyleri
424,Cephalopholis fulva,30,Roatan,shallow,5,m,1.034883721,30,5.174418605,Cephalopholis fulva
14,Acanthurus coeruleus,30,Roatan,shallow,3,m,1.034883721,30,3.104651163,Acanthurus coeruleus
238,Canthigaster jamestyleri,90,Curacao,deep,23,m,1.187769118,NA,27.31868971,Canthigaster jamestyleri
299,Carangoides ruber,30,Roatan,shallow,3,m,1.034883721,30,3.104651163,Caranx ruber
1782,Prognathodes aculeatus,30,Roatan,shallow,3,m,1.034883721,30,3.104651163,Prognathodes aculeatus
2181,Stegastes xanthurus,30,Roatan,shallow,3,m,1.034883721,30,3.104651163,Stegastes xanthurus
22,Acanthurus tractus,30,Roatan,shallow,2,m,1.034883721,30,2.069767442,Acanthurus tractus
243,Canthigaster jamestyleri,110,Curacao,deep,12,m,1.161185714,NA,13.93422857,Canthigaster jamestyleri
1114,Holacanthus tricolor,30,Roatan,shallow,2,m,1.034883721,30,2.069767442,Holacanthus tricolor
1497,Ocyurus chrysurus,30,Roatan,shallow,2,m,1.034883721,30,2.069767442,Ocyurus chrysurus
246,Canthigaster jamestyleri,120,Curacao,deep,8,m,1.127104229,NA,9.016833832,Canthigaster jamestyleri
2129,Sparisoma viride,30,Roatan,shallow,2,m,1.034883721,30,2.069767442,Sparisoma viride
10,Acanthurus chirurgus,30,Roatan,shallow,1,m,1.034883721,30,1.034883721,Acanthurus chirurgus
249,Canthigaster jamestyleri,130,Curacao,deep,2,m,1.303308391,NA,2.606616782,Canthigaster jamestyleri
183,Bodianus rufus,30,Roatan,shallow,1,m,1.034883721,30,1.034883721,Bodianus rufus
223,Canthidermis sufflamen,30,Roatan,shallow,1,m,1.034883721,30,1.034883721,Canthidermis sufflamen
252,Canthigaster jamestyleri,140,Curacao,deep,5,m,1.365335946,NA,6.82667973,Canthigaster jamestyleri
385,Cephalopholis cruentata,30,Roatan,shallow,1,m,1.034883721,30,1.034883721,Cephalopholis cruentata
998,Haemulon flavolineatum,30,Roatan,shallow,1,m,1.034883721,30,1.034883721,Haemulon flavolineatum
255,Canthigaster jamestyleri,150,Bonaire,deep,1,m,1.188927353,NA,1.188927353,Canthigaster jamestyleri
1014,Haemulon plumierii,30,Roatan,shallow,1,m,1.034883721,30,1.034883721,Haemulon plumierii
1186,Hypoplectrus puella,30,Roatan,shallow,1,m,1.034883721,30,1.034883721,Hypoplectrus puella
1454,Mulloidichthys martinicus,30,Roatan,shallow,1,m,1.034883721,30,1.034883721,Mulloidichthys martinicus
1908,Pterois volitans,30,Roatan,shallow,1,m,1.034883721,30,1.034883721,Pterois volitans
1995,Serranus chionaraia,30,Roatan,shallow,1,m,1.034883721,30,1.034883721,Serranus chionaraia
2274,Thalassoma bifasciatum,30,Roatan,shallow,1,m,1.034883721,30,1.034883721,Thalassoma bifasciatum
744,Coryphopterus personatus,40,Roatan,deep,720,m,1.1125,40,801,Coryphopterus personatus
263,Canthigaster rostrata,50,Bonaire,deep,1,m,0.999995899,NA,0.999995899,Canthigaster rostrata
745,Coryphopterus personatus,40,Roatan,shallow,720,m,1.1125,40,801,Coryphopterus personatus
610,Chromis insolata,40,Roatan,deep,680,m,1.1125,40,756.5,Chromis insolata
